"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","SHEARV","GERANIUM","LEUVUL","CERGLO","LATHVIC","MYOSOTIS","TRIFOLIUM","ERILAN","DAUCAR","A","B","C","D","E","F","G","sedge","LINBIE","VERARV","DICCON","ACMAME"
"WIR","DIVERSE","COLLOM",25,"7/17/24",11,"D5",10.5,NA,NA,NA,NA,10,30,"WIR-DIVERSE-11-D5",0,0,0,0,0,0,14,1,0,0,0,0,0,7,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","COLLOM",26,"7/17/24",11,"C4",11.5,NA,NA,NA,NA,12,36,"WIR-DIVERSE-11-C4",0,1,2,1,0,0,17,2,0,4,1,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","COLLOM",27,"7/17/24",11,"C2",12.3,NA,NA,NA,NA,14,42,"WIR-DIVERSE-11-C2",0,0,0,0,0,0,14,4,1,1,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
"WIR","DIVERSE","COLLOM",28,"7/17/24",9,"A4",12.6,NA,NA,NA,NA,15,45,"WIR-DIVERSE-9-A4",0,0,1,1,4,6,16,2,2,2,0,1,2,1,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0
"WIR","DIVERSE","COLLOM",29,"7/17/24",9,"A3",8.9,NA,NA,NA,NA,7,21,"WIR-DIVERSE-9-A3",0,20,0,2,3,1,8,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","COLLOM",30,"7/17/24",9,"D3",7.1,NA,NA,NA,NA,5,15,"WIR-DIVERSE-9-D3",0,0,1,0,2,1,13,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
"WIR","DIVERSE","COLLOM",31,"7/17/24",9,"B2",9.1,NA,NA,NA,NA,8,24,"WIR-DIVERSE-9-B2",0,12,0,2,0,0,15,2,0,0,0,0,0,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","COLLOM",32,"7/17/24",9,"B4",5,NA,NA,NA,NA,4,12,"WIR-DIVERSE-9-B4",0,0,0,0,1,2,18,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
"WIR","DIVERSE","COLLOM",33,"7/17/24",9,"D1",9.9,NA,NA,NA,NA,9,27,"WIR-DIVERSE-9-D1",1,1,0,1,1,0,17,1,0,0,0,0,0,3,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2
"WIR","DIVERSE","NAVSQU",1,"7/17/24",4,"B1",28.1,"0.684",29,2,NA,31,620,"WIR-DIVERSE-4-B1",0,13,1,0,0,2,4,1,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,0,1,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",2,"7/15/24",1,"A1",6.8,"0.0305",4,0,NA,4,80,"WIR-DIVERSE-1-A1",0,7,1,5,2,2,24,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",3,"7/15/24",5,"C1",23.9,"0.426",17,0,NA,17,340,"WIR-DIVERSE-5-C1",0,76,0,2,2,0,5,0,1,1,0,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",4,"7/12/24",1,"D1",12.1,NA,NA,NA,NA,7,140,"WIR-DIVERSE-1-D1",0,5,2,0,1,1,22,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",5,"7/12/24",1,"E3",17.2,NA,NA,NA,NA,11,220,"WIR-DIVERSE-1-E3",0,6,0,7,4,0,12,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",6,"7/12/24",1,"A4",10.6,NA,NA,NA,NA,6,120,"WIR-DIVERSE-1-A4",0,13,1,1,0,0,15,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",7,"7/15/24",2,"E5",11.3,NA,NA,NA,NA,6,120,"WIR-DIVERSE-2-E5",0,3,0,1,1,0,24,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",8,"7/15/24",2,"B3",8.1,NA,NA,NA,NA,5,100,"WIR-DIVERSE-2-B3",0,3,0,0,1,0,43,2,1,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",9,"7/15/24",2,"C1",19.5,"0.233",11,0,NA,11,220,"WIR-DIVERSE-2-C1",2,3,0,0,4,1,17,3,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",10,"7/15/24",2,"B1",25.4,NA,NA,NA,NA,24,480,"WIR-DIVERSE-2-B1",0,8,0,2,3,2,20,3,0,0,0,0,4,0,2,0,0,8,8,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",11,"7/15/24",3,"E2",17.3,NA,NA,NA,NA,11,220,"WIR-DIVERSE-3-E2",0,8,1,3,0,0,19,1,0,0,0,0,0,0,0,0,0,2,6,1,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",12,"7/15/24",3,"E1",14.9,NA,NA,NA,NA,9,180,"WIR-DIVERSE-3-E1",0,13,1,1,1,0,33,2,0,2,0,0,1,0,0,0,0,4,6,0,2,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",13,"7/15/24",3,"D1",9.6,NA,NA,NA,NA,5,100,"WIR-DIVERSE-3-D1",0,15,2,1,1,0,26,1,2,0,1,0,2,0,3,0,0,5,13,0,3,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",14,"7/15/24",3,"B1",7.5,NA,NA,NA,NA,4,80,"WIR-DIVERSE-3-B1",0,9,2,0,1,0,18,2,1,1,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",15,"7/15/24",5,"E5",25.8,NA,NA,NA,NA,25,500,"WIR-DIVERSE-5-E5",0,9,0,1,0,0,11,0,0,2,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,NA,NA,1,NA
"WIR","DIVERSE","NAVSQU",16,"7/15/24",3,"C1",23.5,NA,NA,NA,NA,20,400,"WIR-DIVERSE-3-C1",0,38,0,0,3,0,19,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",17,"7/15/24",5,"E3",17.8,NA,NA,NA,NA,11,220,"WIR-DIVERSE-5-E3",0,16,0,3,4,0,8,0,0,0,1,0,0,0,2,0,0,10,7,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",18,"7/15/24",5,"D4",13.1,NA,NA,NA,NA,7,140,"WIR-DIVERSE-5-D4",1,11,0,0,3,1,15,0,0,3,0,0,0,0,3,0,0,9,12,0,2,0,0,2,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",19,"7/15/24",5,"C2",14.8,NA,NA,NA,NA,9,180,"WIR-DIVERSE-5-C2",0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",20,"7/15/24",5,"A2",11,NA,NA,NA,NA,6,120,"WIR-DIVERSE-5-A2",0,71,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",21,"7/15/24",5,"C4",22.2,NA,NA,NA,NA,18,360,"WIR-DIVERSE-5-C4",0,9,0,0,0,1,7,0,1,1,0,0,2,0,5,0,0,4,7,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",22,"7/15/24",5,"A3",22,NA,NA,NA,NA,17,340,"WIR-DIVERSE-5-A3",0,19,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",23,"7/17/24",6,"A3",20.2,"0.263",21,0,NA,21,420,"WIR-DIVERSE-6-A3",0,1,0,0,0,0,7,0,3,0,0,1,3,0,1,0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",24,"7/17/24",6,"D2",13.9,"0.7",6,0,NA,6,120,"WIR-DIVERSE-6-D2",0,1,0,0,0,0,4,0,1,4,0,0,6,0,2,0,0,1,6,1,1,0,0,2,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",25,"7/17/24",6,"E5",24.1,NA,NA,NA,NA,21,420,"WIR-DIVERSE-6-E5",0,16,0,0,0,0,3,2,1,4,0,0,2,0,0,0,0,2,8,0,0,0,0,0,0,0,1,NA,NA,NA
"WIR","DIVERSE","NAVSQU",26,"7/17/24",4,"A1",31.6,NA,NA,NA,NA,44,880,"WIR-DIVERSE-4-A1",0,6,0,1,1,2,9,1,0,2,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",27,"7/17/24",4,"D1",16.5,NA,NA,NA,NA,10,200,"WIR-DIVERSE-4-D1",0,4,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",28,"7/17/24",7,"D3",12.2,"0.081",6,0,NA,6,120,"WIR-DIVERSE-7-D3",0,4,0,0,0,0,4,0,5,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","NAVSQU",29,"7/17/24",7,"B2",8.8,NA,NA,NA,NA,5,100,"WIR-DIVERSE-7-B2",0,9,1,4,1,1,8,0,0,2,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,NA,2,NA,NA
"WIR","DIVERSE","NAVSQU",30,"7/17/24",11,"A5",14.2,"0.104",7,0,NA,7,140,"WIR-DIVERSE-11-A5",0,16,0,0,0,0,12,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",31,"7/17/24",11,"A4",23.4,NA,NA,NA,NA,20,400,"WIR-DIVERSE-11-A4",0,4,0,0,0,0,12,2,0,1,0,0,2,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",32,"7/17/24",11,"D1",21.8,NA,NA,NA,NA,17,340,"WIR-DIVERSE-11-D1",0,9,0,1,0,0,13,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",33,"7/17/24",9,"D1",16.4,NA,NA,NA,NA,10,200,"WIR-DIVERSE-9-D1",1,1,0,1,1,0,17,1,0,0,0,0,0,3,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2
"WIR","DIVERSE","NAVSQU",34,"7/17/24",9,"D5",7.8,NA,NA,NA,NA,5,100,"WIR-DIVERSE-9-D5",0,1,0,0,0,0,9,0,0,1,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",35,"7/17/24",9,"A2",18.2,NA,NA,NA,NA,12,240,"WIR-DIVERSE-9-A2",0,9,0,1,0,2,20,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",36,"7/17/24",9,"B1",5.2,NA,NA,NA,NA,4,80,"WIR-DIVERSE-9-B1",1,0,0,1,0,0,10,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",37,"7/17/24",9,"D2",12.6,NA,NA,NA,NA,7,140,"WIR-DIVERSE-9-D2",0,6,0,1,2,3,12,3,1,1,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",38,"7/17/24",9,"A5",14.3,NA,NA,NA,NA,8,160,"WIR-DIVERSE-9-A5",0,3,0,0,2,5,0,7,1,3,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
"WIR","DIVERSE","NAVSQU",39,"7/17/24",8,"B4",19,NA,NA,NA,NA,13,260,"WIR-DIVERSE-8-B4",0,28,0,3,4,4,2,1,0,5,0,0,0,2,0,0,0,7,0,2,0,0,0,0,1,0,NA,4,NA,NA
"WIR","DIVERSE","CLAPUR",1,"7/15/24",5,"C5",20.5,NA,NA,NA,NA,6,324,"WIR-DIVERSE-5-C5",0,5,0,1,1,0,10,0,0,1,0,0,0,1,0,0,0,6,5,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",2,"7/17/24",4,"C5",19.1,"0.347",NA,NA,NA,7,378,"WIR-DIVERSE-4-C5",1,10,0,4,1,1,16,0,4,0,0,0,2,2,1,0,0,6,6,0,2,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",3,"7/15/24",2,"B5",9.5,"0.097",NA,NA,NA,2,108,"WIR-DIVERSE-2-B5",1,10,0,1,2,3,33,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",4,"7/12/24",1,"D5",10.3,NA,NA,NA,NA,7,378,"WIR-DIVERSE-1-D5",0,0,0,2,3,1,24,2,0,1,0,0,0,0,2,0,0,4,0,1,0,2,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",5,"7/12/24",1,"A5",11.3,NA,NA,NA,NA,4,216,"WIR-DIVERSE-1-A5",1,17,1,1,4,1,12,4,1,0,0,0,0,5,1,0,0,3,1,0,3,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",6,"7/12/24",1,"D4",14,NA,NA,NA,"bt",6,324,"WIR-DIVERSE-1-D4",0,16,0,4,1,2,16,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",7,"7/12/24",1,"A3",21,NA,NA,NA,NA,4,216,"WIR-DIVERSE-1-A3",0,3,0,2,1,1,24,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",8,"7/12/24",1,"B1",13.4,NA,NA,NA,NA,3,162,"WIR-DIVERSE-1-B1",2,0,0,4,2,2,15,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,13,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",9,"7/15/24",2,"A2",18.8,"1.016",NA,NA,NA,16,864,"WIR-DIVERSE-2-A2",0,5,1,0,3,2,11,4,0,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",10,"7/15/24",2,"B4",14.1,"0.444",NA,NA,NA,5,270,"WIR-DIVERSE-2-B4",0,4,0,0,2,2,26,6,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",11,"7/15/24",3,"E3",18.2,"0.285",NA,NA,NA,5,270,"WIR-DIVERSE-3-E3",0,8,0,0,2,0,29,0,0,0,0,0,2,0,0,0,0,3,4,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",12,"7/15/24",3,"C4",20.3,"0.327",NA,NA,NA,5,270,"WIR-DIVERSE-3-C4",0,0,0,0,4,1,34,0,0,4,1,0,1,0,2,0,0,10,1,2,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",13,"7/15/24",3,"B5",20.3,"0.27",NA,NA,NA,4,216,"WIR-DIVERSE-3-B5",0,7,0,0,3,2,12,4,0,0,0,0,0,0,2,0,0,2,3,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",14,"7/15/24",3,"C3",15.2,"0.19",NA,NA,NA,2,108,"WIR-DIVERSE-3-C3",0,3,0,0,5,0,29,0,0,3,0,0,0,0,2,0,0,8,0,2,0,2,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",15,"7/15/24",3,"C2",12.5,NA,NA,NA,NA,6,324,"WIR-DIVERSE-3-C2",0,8,0,6,1,0,18,8,1,1,0,0,0,0,4,0,0,6,4,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",16,"7/15/24",5,"E4",15.3,NA,NA,NA,NA,2,108,"WIR-DIVERSE-5-E4",0,38,0,6,2,2,18,0,0,3,0,0,4,1,6,0,0,5,9,0,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",17,"7/15/24",5,"D2",21.5,NA,NA,NA,NA,3,162,"WIR-DIVERSE-5-D2",0,52,0,1,3,5,7,0,0,1,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",18,"7/15/24",5,"B1",23.7,NA,NA,NA,NA,26,1404,"WIR-DIVERSE-5-B1",0,38,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",19,"7/15/24",5,"B2",22.5,NA,NA,NA,NA,5,270,"WIR-DIVERSE-5-B2",0,19,0,0,0,0,8,1,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",20,"7/15/24",5,"A5",9.4,NA,NA,NA,NA,4,216,"WIR-DIVERSE-5-A5",0,46,0,0,3,0,6,0,0,7,0,0,0,0,2,0,0,5,3,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",21,"7/17/24",6,"A2",15.4,NA,NA,NA,NA,10,540,"WIR-DIVERSE-6-A2",0,2,0,0,0,0,7,0,3,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",22,"7/17/24",6,"A4",22,NA,NA,NA,NA,17,918,"WIR-DIVERSE-6-A4",0,7,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",23,"7/17/24",6,"C2",28.6,NA,NA,NA,NA,25,1350,"WIR-DIVERSE-6-C2",0,2,0,0,0,0,5,0,4,5,0,0,3,0,0,0,0,7,6,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",24,"7/17/24",6,"D5",30.3,NA,NA,NA,NA,5,270,"WIR-DIVERSE-6-D5",0,24,0,1,1,0,3,1,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",25,"7/17/24",4,"E5",18.2,NA,NA,NA,NA,2,108,"WIR-DIVERSE-4-E5",0,12,0,3,2,0,18,0,3,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",26,"7/17/24",4,"E3",19.6,NA,NA,NA,NA,4,216,"WIR-DIVERSE-4-E3",1,22,0,0,1,2,11,2,0,1,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",27,"7/17/24",4,"E1",16.5,NA,NA,NA,NA,7,378,"WIR-DIVERSE-4-E1",0,4,0,2,0,0,7,0,0,3,0,0,0,1,3,0,0,2,2,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",28,"7/17/24",4,"E4",20.1,NA,NA,NA,NA,4,216,"WIR-DIVERSE-4-E4",0,22,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,5,2,1,2,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",29,"7/17/24",4,"C2",28.1,NA,NA,NA,NA,13,702,"WIR-DIVERSE-4-C2",0,4,0,1,1,0,11,3,0,8,0,0,2,1,0,0,0,5,4,0,1,0,0,0,0,0,NA,NA,NA,NA
"WIR","DIVERSE","CLAPUR",30,"7/17/24",7,"D2",11.1,NA,NA,NA,NA,2,108,"WIR-DIVERSE-7-D2",0,6,0,1,0,1,7,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,1
"WIR","DIVERSE","CLAPUR",31,"7/17/24",7,"A2",16.4,NA,NA,NA,NA,21,1134,"WIR-DIVERSE-7-A2",0,3,0,2,0,0,5,0,0,1,0,0,2,0,0,0,0,4,0,0,1,2,0,0,0,0,NA,2,NA,4
