"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","focal_collect","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","SHEARV","GALIUM","LATHVIC","ERILAN","DAUCAR","APOAND","LUPBIC","LEUVUL","TRIFOLIUM","MYOSOTIS","CERGLO","GERANIUM","D","F","G","Z","HYPERNICUM","CIRSIUM","VERARV","MADIA","NAVINT","A","B","C","DANDEION","CLAAMO","MYO","CHICKWEED","VICIA","DAUCUS","LINBIE","PLANTAIN","CAMAS","CLOVER","J","H","I","SEDGE","EPICIL","JUNCUS","SCARLET.PIMPERNEL","FRLA","E","sedge","DICCON","ACMAME","N_neigh","N_neigh8"
"SEM","DIVERSE","COLLOM",27,"7/22/24",6,"C1",9,NA,NA,NA,NA,6,18,"SEM-DIVERSE-6-C1","Y",0,25,0,7,1,2,5,10,0,8,5,3,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,50
"SEM","DIVERSE","COLLOM",28,"7/22/24",6,"D3",11.9,NA,NA,NA,NA,10,30,"SEM-DIVERSE-6-D3","Y",0,28,0,8,9,1,0,9,0,4,4,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,55
"SEM","DIVERSE","COLLOM",29,"7/22/24",6,"C4",14.4,NA,NA,NA,NA,17,51,"SEM-DIVERSE-6-C4","Y",0,19,0,4,4,3,1,2,0,6,8,3,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,33
"SEM","DIVERSE","COLLOM",30,"7/22/24",6,"B4",21.1,NA,NA,NA,NA,69,207,"SEM-DIVERSE-6-B4","Y",0,32,0,3,0,1,1,1,0,6,5,4,0,1,1,0,0,0,2,2,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,38
"SEM","DIVERSE","COLLOM",31,"7/22/24",6,"A5",15.4,"0.2783",9,3,NA,27,81,"SEM-DIVERSE-6-A5","Y",0,18,0,2,4,2,0,6,1,6,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,32
"SEM","DIVERSE","COLLOM",32,"7/22/24",5,"B5",13.6,NA,NA,NA,NA,14,42,"SEM-DIVERSE-5-B5","Y",0,8,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,10
"SEM","DIVERSE","COLLOM",33,"7/22/24",5,"B4",17.1,NA,NA,NA,NA,29,87,"SEM-DIVERSE-5-B4","Y",0,5,0,1,0,0,7,1,0,0,9,4,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,14
"SEM","DIVERSE","COLLOM",34,"7/22/24",5,"A4",22.6,NA,NA,NA,NA,95,285,"SEM-DIVERSE-5-A4","Y",0,0,0,1,0,0,0,4,0,2,10,3,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5
"SEM","DIVERSE","COLLOM",35,"7/22/24",5,"B3",18.1,NA,NA,NA,NA,36,108,"SEM-DIVERSE-5-B3","Y",0,9,0,1,0,0,2,3,0,2,10,2,0,0,1,0,0,0,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,15
"SEM","DIVERSE","COLLOM",36,"7/22/24",5,"A2",19.5,NA,NA,NA,NA,49,147,"SEM-DIVERSE-5-A2","Y",0,2,0,0,0,0,6,3,0,3,9,2,0,2,0,0,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,11
"SEM","DIVERSE","COLLOM",37,"7/22/24",5,"A1",25.2,NA,NA,NA,NA,166,498,"SEM-DIVERSE-5-A1","Y",0,5,0,1,3,1,4,12,0,3,8,3,0,0,3,0,0,2,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,26
"SEM","DIVERSE","COLLOM",38,"7/22/24",7,"B5",22.5,NA,NA,NA,NA,93,279,"SEM-DIVERSE-7-B5","Y",0,7,0,0,2,0,3,5,0,6,6,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,17
"SEM","DIVERSE","COLLOM",39,"7/22/24",7,"B4",9.6,NA,NA,NA,NA,6,18,"SEM-DIVERSE-7-B4","Y",0,1,1,0,0,1,3,3,0,5,7,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,9
"SEM","DIVERSE","NAVSQU",1,"7/22/24",6,"D4",31.5,"0.93",47,7,NA,61,1220,"SEM-DIVERSE-6-D4","Y",0,53,0,5,5,3,2,8,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,76
"SEM","DIVERSE","NAVSQU",2,"7/22/24",2,"B1",27,"0.58",21,0,NA,21,420,"SEM-DIVERSE-2-B1","Y",0,4,0,6,5,0,0,0,1,7,2,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,15
"SEM","DIVERSE","NAVSQU",3,"7/22/24",7,"D4",14.6,"0.122",12,0,NA,12,240,"SEM-DIVERSE-7-D4","Y",0,5,0,5,3,0,6,6,0,8,5,4,1,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,25
"SEM","DIVERSE","NAVSQU",4,"7/19/24",4,"E5",51.6,NA,NA,NA,NA,291,5820,"SEM-DIVERSE-4-E5","Y",0,2,0,1,1,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8
"SEM","DIVERSE","NAVSQU",5,"7/19/24",4,"C2",16.4,NA,NA,NA,NA,11,220,"SEM-DIVERSE-4-C2","Y",0,10,0,1,5,0,3,10,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,29
"SEM","DIVERSE","NAVSQU",6,"7/19/24",4,"B2",5.1,"0.152",NA,NA,"Wasn't counted?",4,80,"SEM-DIVERSE-4-B2","Y",0,1,0,0,0,0,1,3,0,3,5,2,0,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,5
"SEM","DIVERSE","NAVSQU",7,"7/19/24",1,"E3",19,"0.207",8,0,NA,8,160,"SEM-DIVERSE-1-E3","Y",0,11,0,3,2,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,17
"SEM","DIVERSE","NAVSQU",7,"7/19/24",1,"D5",15.8,"0.223",11,6,NA,17,340,"SEM-DIVERSE-1-D5","Y",0,4,0,1,1,2,0,0,0,2,6,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8
"SEM","DIVERSE","NAVSQU",8,"7/19/24",1,"D3",11,NA,NA,NA,NA,7,140,"SEM-DIVERSE-1-D3","Y",0,18,0,4,3,1,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,31
"SEM","DIVERSE","NAVSQU",9,"7/19/24",1,"C2",39,NA,NA,NA,NA,89,1780,"SEM-DIVERSE-1-C2","Y",0,5,0,4,2,0,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15
"SEM","DIVERSE","NAVSQU",10,"7/19/24",4,"B5",19.9,NA,NA,NA,NA,15,300,"SEM-DIVERSE-4-B5","Y",0,0,0,2,1,0,2,0,0,4,7,3,0,0,2,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5
"SEM","DIVERSE","NAVSQU",11,"7/19/24",1,"B2",19,NA,NA,NA,NA,14,280,"SEM-DIVERSE-1-B2","Y",0,11,0,1,1,0,4,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,17
"SEM","DIVERSE","NAVSQU",12,"7/19/24",1,"A1",19.9,NA,NA,NA,NA,15,300,"SEM-DIVERSE-1-A1","Y",0,7,0,0,2,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11
"SEM","DIVERSE","NAVSQU",13,"7/19/24",1,"C3",12.6,NA,NA,NA,NA,8,160,"SEM-DIVERSE-1-C3","Y",0,11,1,7,3,2,2,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,30
"SEM","DIVERSE","NAVSQU",14,"7/19/24",3,"E4",54.2,NA,NA,NA,NA,372,7440,"SEM-DIVERSE-3-E4","Y",0,1,0,0,0,0,0,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2
"SEM","DIVERSE","NAVSQU",15,"7/19/24",3,"C1",22,NA,NA,NA,NA,18,360,"SEM-DIVERSE-3-C1","Y",0,9,2,3,5,4,1,7,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,31
"SEM","DIVERSE","NAVSQU",16,"7/19/24",3,"B4",12.6,NA,NA,NA,NA,8,160,"SEM-DIVERSE-3-B4","Y",0,1,35,3,7,2,0,11,0,2,3,0,0,0,1,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,59
"SEM","DIVERSE","NAVSQU",17,"7/19/24",3,"A5",15.2,NA,NA,NA,NA,10,200,"SEM-DIVERSE-3-A5","Y",0,5,0,0,1,0,0,5,0,5,3,1,0,0,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11
"SEM","DIVERSE","NAVSQU",18,"7/19/24",3,"A4",6.5,"0.0093",2,0,NA,2,40,"SEM-DIVERSE-3-A4","Y",0,12,0,2,5,5,0,9,0,12,5,1,0,0,1,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,33
"SEM","DIVERSE","NAVSQU",19,"7/19/24",8,"A2",26.1,NA,NA,NA,NA,27,540,"SEM-DIVERSE-8-A2","Y",0,7,0,1,1,0,3,2,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,14
"SEM","DIVERSE","NAVSQU",20,"7/19/24",8,"A5",22.2,NA,NA,NA,NA,19,380,"SEM-DIVERSE-8-A5","Y",0,7,0,0,0,0,4,0,0,7,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11
"SEM","DIVERSE","NAVSQU",21,"7/19/24",8,"C5",14.5,NA,NA,NA,NA,9,180,"SEM-DIVERSE-8-C5","Y",0,16,0,6,3,0,7,1,0,7,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,33
"SEM","DIVERSE","NAVSQU",22,"7/22/24",2,"D2",40.9,NA,NA,NA,NA,107,2140,"SEM-DIVERSE-2-D2","Y",0,1,0,2,0,0,1,0,0,2,4,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4
