"park","plot","species","rep","date","plot.1","subplot","height","biomass","topfr","sidefr","notes","fruits","seeds","unique","focal_collect","PLECON","NAVSQU","PLAFIG","EPIDEN","GILCAP","COLLIN","CLAPUR","COLLOM","LACTUCA","MYO","CHICKWEED","VICIA","MADIA","LEUVUL","DAUCUS","LINBIE","PLANTAIN","GERANIUM","GALIUM","SHEARV","CAMAS","CLOVER","J","C","F","G","H","I","VERARV","A","SEDGE","EPICIL","ERILAN","JUNCUS","SCARLET.PIMPERNEL","LUPBIC","D","FRLA"
"BR","DIVERSE","COLLOM",11,"7/24/24",3,"B3",19.5,"0.448",12,0,NA,12,36,"BR-DIVERSE-3-B3",NA,1,0,0,0,0,3,1,1,0,0,0,0,7,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",12,"7/24/24",3,"C2",16.7,"0.301",10,1,"BT",20,60,"BR-DIVERSE-3-C2",NA,0,5,0,2,1,0,2,5,0,3,0,0,6,0,0,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",12,"7/24/24",4,"B5",17.7,NA,NA,NA,NA,15,45,"BR-DIVERSE-4-B5",NA,0,1,2,0,0,2,0,8,0,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",13,"7/24/24",4,"C4",10.1,NA,NA,NA,NA,10,30,"BR-DIVERSE-4-C4",NA,0,1,0,1,0,3,3,2,2,5,0,0,8,0,0,6,0,2,0,0,1,0,0,1,6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",14,"7/24/24",4,"E4",11.6,NA,NA,NA,NA,11,33,"BR-DIVERSE-4-E4",NA,0,1,0,3,0,0,0,3,2,1,0,0,7,2,3,5,0,1,0,1,0,0,0,0,5,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLOM",15,"7/25/24",5,"E2",6.3,NA,NA,NA,NA,8,24,"BR-DIVERSE-5-E2",NA,0,4,0,2,0,0,7,3,4,1,1,0,2,0,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","COLLOM",16,"7/25/24",5,"A3",9.7,NA,NA,NA,NA,10,30,"BR-DIVERSE-5-A3",NA,0,3,0,5,7,0,1,1,0,1,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,NA,NA,NA
"BR","DIVERSE","COLLOM",17,"7/25/24",5,"E4",7.5,NA,NA,NA,NA,9,27,"BR-DIVERSE-5-E4",NA,0,1,0,0,0,0,5,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","COLLOM",18,"7/25/24",12,"C1",14.1,"0.223",5,2,NA,15,45,"BR-DIVERSE-12-C1",NA,0,2,0,1,12,1,4,1,0,1,0,0,0,3,4,11,0,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","COLLOM",19,"7/25/24",12,"B3",9.5,NA,NA,NA,NA,10,30,"BR-DIVERSE-12-B3",NA,0,0,0,2,5,0,4,3,0,0,0,0,1,1,2,4,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","COLLOM",20,"7/25/24",12,"A3",20.3,"0.562",6,5,"Poss munched: tallest mid inf as top but side inf similar in size",16,48,"BR-DIVERSE-12-A3",NA,0,1,0,2,0,0,1,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","COLLOM",21,"7/25/24",9,"E2",24.3,NA,NA,NA,NA,21,63,"BR-DIVERSE-9-E2",NA,0,8,0,4,0,0,1,1,1,0,1,0,1,0,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","COLLOM",22,"7/25/24",9,"E5",14.4,NA,NA,NA,NA,12,36,"BR-DIVERSE-9-E5",NA,1,8,0,1,0,0,0,1,2,1,0,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"BR","DIVERSE","COLLOM",23,"7/25/24",13,"A1",17.2,"0.574",18,0,NA,18,54,"BR-DIVERSE-13-A1",NA,0,17,0,1,1,0,0,2,2,2,0,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"BR","DIVERSE","COLLOM",24,"7/25/24",13,"D1",13.5,NA,NA,NA,NA,12,36,"BR-DIVERSE-13-D1",NA,0,25,1,1,3,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3
"BR","DIVERSE","NAVSQU",1,"7/24/24",4,"C2",29.7,"0.582",26,3,NA,29,580,"BR-DIVERSE-4-C2",NA,0,10,0,1,1,1,0,0,2,2,0,0,6,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",2,"7/25/24",9,"C2",27.6,"0.435",33,0,NA,33,660,"BR-DIVERSE-9-C2",NA,0,7,1,3,3,1,0,6,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","NAVSQU",3,"7/24/24",4,"B2",44.1,"1.561",22,11,NA,132,2640,"BR-DIVERSE-4-B2",NA,0,1,0,1,2,0,0,1,0,0,0,0,6,0,2,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",4,"7/24/24",1,"A1",6.7,NA,NA,NA,NA,6,120,"BR-DIVERSE-1-A1",NA,0,12,0,0,1,2,2,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,16,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",5,"7/24/24",1,"C3",13.9,NA,NA,NA,NA,10,200,"BR-DIVERSE-1-C3",NA,0,19,1,3,1,1,3,2,1,0,0,0,18,0,2,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",6,"7/24/24",2,"D5",10.9,NA,NA,NA,NA,8,160,"BR-DIVERSE-2-D5",NA,0,1,0,0,0,0,1,2,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",7,"7/24/24",2,"E4",9.5,NA,NA,NA,NA,7,140,"BR-DIVERSE-2-E4",NA,0,1,0,0,0,0,0,1,3,0,1,0,12,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",8,"7/24/24",2,"C3",4.8,NA,NA,NA,NA,5,100,"BR-DIVERSE-2-C3",NA,0,6,0,0,0,0,0,0,0,0,1,0,8,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",9,"7/24/24",3,"D4",23.6,NA,NA,NA,NA,21,420,"BR-DIVERSE-3-D4",NA,0,6,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",10,"7/24/24",3,"E3",23.2,"0.532",24,4,NA,36,720,"BR-DIVERSE-3-E3",NA,1,25,1,8,2,1,1,3,3,5,1,1,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",11,"7/24/24",4,"D2",5.7,NA,NA,NA,NA,6,120,"BR-DIVERSE-4-D2",NA,0,1,0,0,0,5,10,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",12,"7/24/24",4,"E1",18.4,NA,NA,NA,NA,14,280,"BR-DIVERSE-4-E1",NA,0,1,0,6,0,0,13,2,0,1,0,0,5,0,4,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",13,"7/24/24",4,"D4",10.9,"0.037",5,0,NA,5,100,"BR-DIVERSE-4-D4",NA,1,0,0,2,0,0,1,0,0,2,0,0,6,0,4,0,0,0,1,0,0,0,0,0,6,0,0,3,0,0,0,1,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",13,"7/24/24",4,"D3",6.1,NA,NA,NA,NA,6,120,"BR-DIVERSE-4-D3",NA,0,0,0,0,0,2,1,1,0,0,0,0,6,0,3,3,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","NAVSQU",14,"7/25/24",5,"A1",24.7,NA,NA,NA,NA,23,460,"BR-DIVERSE-5-A1",NA,0,16,0,2,2,0,6,0,0,1,0,0,2,0,2,0,0,0,2,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","NAVSQU",15,"7/25/24",5,"B2",15.6,"0.151",15,0,NA,15,300,"BR-DIVERSE-5-B2",NA,0,1,0,1,4,0,4,1,0,1,0,0,2,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"BR","DIVERSE","NAVSQU",16,"7/25/24",5,"A5",17.6,NA,NA,NA,NA,13,260,"BR-DIVERSE-5-A5",NA,0,8,0,2,5,0,1,1,1,1,1,0,3,1,2,3,0,1,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","NAVSQU",16,"7/25/24",12,"E5",17.9,NA,NA,NA,NA,14,280,"BR-DIVERSE-12-E5",NA,0,6,0,4,5,0,2,1,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","NAVSQU",17,"7/25/24",12,"D5",9.9,NA,NA,NA,NA,7,140,"BR-DIVERSE-12-D5",NA,1,4,1,6,3,2,3,2,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","NAVSQU",18,"7/25/24",12,"C4",31,NA,NA,NA,NA,37,740,"BR-DIVERSE-12-C4",NA,0,7,0,2,6,1,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","NAVSQU",19,"7/25/24",12,"A4",38.5,"0.664",32,2,NA,32,640,"BR-DIVERSE-12-A4",NA,0,1,0,0,3,0,1,1,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,3,0,0,4,0,1,0,0,1,0,0,NA,0,NA
"BR","DIVERSE","NAVSQU",20,"7/25/24",9,"B1",10.5,NA,NA,NA,NA,8,160,"BR-DIVERSE-9-B1",NA,0,6,0,1,4,0,2,3,4,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","NAVSQU",21,"7/25/24",9,"E3",27.4,NA,NA,NA,NA,28,560,"BR-DIVERSE-9-E3",NA,0,3,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA
"BR","DIVERSE","NAVSQU",22,"7/25/24",9,"B4",27.6,NA,NA,NA,NA,29,580,"BR-DIVERSE-9-B4",NA,0,28,0,3,3,1,2,0,0,1,1,0,0,0,2,3,0,0,2,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","NAVSQU",23,"7/25/24",9,"C5",22.4,NA,NA,NA,NA,19,380,"BR-DIVERSE-9-C5",NA,0,15,0,1,1,0,1,1,1,2,0,0,1,0,0,3,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","NAVSQU",24,"7/25/24",13,"D4",8.1,NA,NA,NA,NA,7,140,"BR-DIVERSE-13-D4",NA,0,8,0,0,4,1,2,0,1,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BR","DIVERSE","NAVSQU",25,"7/25/24",13,"E2",33,NA,NA,NA,NA,43,860,"BR-DIVERSE-13-E2",NA,0,25,0,2,11,1,2,0,3,0,1,0,3,1,0,5,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
"BR","DIVERSE","NAVSQU",26,"7/25/24",13,"B2",29.6,"0.326",19,0,NA,19,380,"BR-DIVERSE-13-B2",NA,0,29,0,2,6,1,0,0,0,0,1,0,0,0,3,5,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
"BR","DIVERSE","NAVSQU",27,"7/25/24",13,"C1",22.9,NA,NA,NA,NA,20,400,"BR-DIVERSE-13-C1",NA,0,7,0,0,11,0,0,0,1,0,1,0,2,0,1,5,0,0,1,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1
"BR","DIVERSE","CLAPUR",1,"7/25/24",12,"E1",22.2,"0.138",NA,NA,"BT",3,162,"BR-DIVERSE-12-E1",NA,1,9,0,0,3,0,2,1,3,1,0,0,0,1,0,5,0,1,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","CLAPUR",2,"7/25/24",5,"E1",8.1,"0.07",NA,NA,NA,1,54,"BR-DIVERSE-5-E1",NA,1,2,1,1,1,0,11,1,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,NA,NA,NA
"BR","DIVERSE","CLAPUR",3,"7/25/24",5,"E5",9.4,"0.058",NA,NA,NA,2,108,"BR-DIVERSE-5-E5",NA,0,0,1,3,0,0,4,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","CLAPUR",4,"7/24/24",1,"B3",20.5,"0.084",NA,NA,NA,2,108,"BR-DIVERSE-1-B3",NA,1,26,0,0,1,1,1,1,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",5,"7/24/24",1,"C2",20.2,"0.129",NA,NA,NA,3,162,"BR-DIVERSE-1-C2",NA,2,19,0,4,3,3,4,2,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",6,"7/24/24",1,"D3",19.1,"0.148",NA,NA,NA,2,108,"BR-DIVERSE-1-D3",NA,0,4,0,0,2,4,4,1,1,0,0,0,9,0,5,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",7,"7/24/24",1,"E4",39.1,"0.542",NA,NA,NA,7,378,"BR-DIVERSE-1-E4",NA,0,1,0,0,0,5,1,0,5,0,0,0,9,0,6,3,1,1,0,0,0,0,0,1,4,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",8,"7/24/24",2,"E2",15.5,"0.06",NA,NA,NA,1,54,"BR-DIVERSE-2-E2",NA,0,1,0,0,0,2,0,0,2,0,1,0,10,8,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",9,"7/24/24",2,"D2",10.7,"0.017",NA,NA,NA,1,54,"BR-DIVERSE-2-D2",NA,0,0,0,1,1,3,10,1,5,0,0,0,13,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",10,"7/24/24",2,"E1",22.3,NA,NA,NA,NA,1,54,"BR-DIVERSE-2-E1",NA,0,0,0,0,0,0,6,0,3,1,0,0,8,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",11,"7/24/24",2,"C1",16.1,NA,NA,NA,NA,6,324,"BR-DIVERSE-2-C1",NA,0,0,0,0,0,0,4,1,0,1,0,0,14,0,1,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",12,"7/24/24",3,"E5",23.9,NA,NA,NA,NA,5,270,"BR-DIVERSE-3-E5",NA,0,0,0,0,0,0,0,12,1,0,0,0,0,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",13,"7/24/24",3,"D5",16.8,NA,NA,NA,NA,2,108,"BR-DIVERSE-3-D5",NA,0,1,0,0,0,0,5,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",14,"7/24/24",3,"E4",28.2,NA,NA,NA,NA,4,216,"BR-DIVERSE-3-E4",NA,0,1,0,0,0,0,11,0,1,0,0,1,3,0,1,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",15,"7/24/24",4,"B4",35.6,NA,NA,NA,NA,5,270,"BR-DIVERSE-4-B4",NA,1,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",16,"7/24/24",4,"D1",18.3,NA,NA,NA,NA,1,54,"BR-DIVERSE-4-D1",NA,1,0,1,0,1,0,9,3,1,0,0,0,1,0,4,4,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",17,"7/24/24",4,"D3",13.6,NA,NA,NA,NA,5,270,"BR-DIVERSE-4-D3",NA,0,0,0,0,0,2,1,1,0,0,0,0,6,0,3,3,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","CLAPUR",18,"7/25/24",5,"D2",11.2,NA,NA,NA,NA,1,54,"BR-DIVERSE-5-D2",NA,0,4,1,4,1,0,12,2,0,2,1,0,2,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"BR","DIVERSE","CLAPUR",19,"7/25/24",5,"D4",27.8,NA,NA,NA,NA,5,270,"BR-DIVERSE-5-D4",NA,1,1,0,3,0,2,3,1,2,1,0,0,2,0,5,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","CLAPUR",20,"7/25/24",12,"E2",14.5,NA,NA,NA,NA,2,108,"BR-DIVERSE-12-E2",NA,0,4,0,0,4,0,4,1,1,1,0,0,1,0,3,5,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","CLAPUR",21,"7/25/24",12,"D4",18.2,NA,NA,NA,NA,2,108,"BR-DIVERSE-12-D4",NA,0,4,1,6,10,2,1,0,1,0,0,0,1,0,1,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","CLAPUR",22,"7/25/24",12,"A1",36.5,NA,NA,NA,NA,13,702,"BR-DIVERSE-12-A1",NA,0,3,0,3,6,3,2,1,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,1,2,0,0,2,0,4,0,0,0,0,0,NA,0,NA
"BR","DIVERSE","CLAPUR",23,"7/25/24",9,"B2",25.1,NA,NA,NA,NA,4,216,"BR-DIVERSE-9-B2",NA,0,8,0,1,2,0,1,3,0,1,1,0,1,0,0,3,2,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","CLAPUR",24,"7/25/24",9,"D3",12.1,NA,NA,NA,NA,4,216,"BR-DIVERSE-9-D3",NA,0,6,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA
"BR","DIVERSE","CLAPUR",25,"7/25/24",9,"E4",15.9,NA,NA,NA,NA,3,162,"BR-DIVERSE-9-E4",NA,0,14,0,0,1,0,2,0,1,1,0,0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","CLAPUR",26,"7/25/24",13,"E5",31.8,NA,NA,NA,NA,6,324,"BR-DIVERSE-13-E5",NA,0,15,0,3,5,0,5,1,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR","DIVERSE","CLAPUR",27,"7/25/24",13,"E4",14.6,NA,NA,NA,NA,1,54,"BR-DIVERSE-13-E4",NA,1,12,0,1,2,0,4,2,0,0,1,0,0,0,0,4,0,0,2,2,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0
"BR","DIVERSE","CLAPUR",28,"7/25/24",13,"A4",24,NA,NA,NA,NA,4,216,"BR-DIVERSE-13-A4",NA,0,3,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
"BR","DIVERSE","CLAPUR",29,"7/25/24",13,"B1",15.1,NA,NA,NA,NA,2,108,"BR-DIVERSE-13-B1",NA,0,14,0,1,2,0,1,0,0,1,1,0,1,0,0,4,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR","DIVERSE","COLLIN",1,"7/25/24",5,"C3",NA,"0.034",NA,NA,NA,2,8,"BR-DIVERSE-5-C3",NA,0,1,0,6,2,4,3,5,2,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
"BR","DIVERSE","COLLIN",2,"7/24/24",1,"A1",NA,"0.178",NA,NA,NA,19,76,"BR-DIVERSE-1-A1",NA,0,12,0,0,1,2,2,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,16,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLIN",4,"7/24/24",1,"A2",NA,"0.053",NA,NA,NA,5,20,"BR-DIVERSE-1-A2",NA,1,9,0,5,3,2,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLIN",5,"7/24/24",1,"C1",NA,"0.041",NA,NA,NA,5,20,"BR-DIVERSE-1-C1",NA,1,12,0,9,6,3,1,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BR","DIVERSE","COLLIN",6,"7/24/24",2,"A4",NA,"0.21",NA,NA,NA,21,84,"BR-DIVERSE-2-A4",NA,1,2,0,4,0,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
