"","focal","seeds","PLOT","PARK","A","B","C","CERGLO","CLAAMO","CLAPUR","COLLIN","COLLOM","DANDEION","DAUCAR","EPIDEN","ERILAN","GERANIUM","GILCAP","LACTUCA","MADIA","MYOSOTIS","NAVINT","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VICIA"
"37","COLLIN",20,"DIVERSE","RF","0","0","0","3","0","2","15","8","0","0","15","0","0","13","0","0","0","0","74","1","0","0","0","0"
"38","COLLIN",10,"DIVERSE","RF","0","0","0","1","0","14","6","13","0","0","21","0","2","4","0","0","0","0","32","2","1","0","0","0"
"39","COLLIN",7,"DIVERSE","RF","0","0","7","0","0","0","1","6","0","1","36","0","0","1","0","0","0","0","3","0","0","0","0","0"
"40","COLLIN",4,"DIVERSE","RF","0","0","0","1","0","4","8","10","0","0","29","0","0","3","0","1","0","1","8","0","0","0","0","0"
"41","COLLOM",13,"DIVERSE","RF","0","0","0","0","0","4","2","6","0","0","12","0","0","1","1","0","0","0","4","3","1","0","0","0"
"42","COLLOM",17,"DIVERSE","RF","0","0","0","0","0","5","9","12","0","0","8","1","0","0","1","0","0","0","6","2","4","0","0","0"
"43","COLLOM",17,"DIVERSE","RF","0","0","0","1","0","2","5","27","0","0","8","0","0","4","1","0","0","0","3","3","0","0","0","0"
"44","COLLOM",41,"DIVERSE","RF","0","2","0","0","0","4","16","27","0","0","17","0","0","8","2","0","0","10","5","4","1","1","0","0"
"45","COLLOM",17,"DIVERSE","RF","0","1","0","2","0","4","18","32","0","0","15","0","0","11","1","0","0","0","14","4","4","0","0","0"
"46","COLLOM",12,"DIVERSE","RF","0","0","0","0","0","5","27","13","0","0","9","1","0","9","0","0","0","0","8","8","8","0","0","0"
"47","COLLOM",17,"DIVERSE","RF","0","0","0","0","0","1","6","5","0","1","20","0","0","0","0","0","1","0","5","1","1","0","0","0"
"48","COLLOM",64,"DIVERSE","RF","0","0","1","2","0","4","2","3","0","0","6","0","0","0","1","0","0","1","3","5","1","0","0","0"
"49","COLLOM",17,"DIVERSE","RF","0","2","0","3","0","3","7","34","0","0","14","0","1","16","0","0","0","2","3","4","0","2","0","0"
"50","COLLOM",17,"DIVERSE","RF","0","2","0","0","0","1","3","3","0","0","4","0","0","3","0","0","0","1","11","3","0","0","0","0"
"51","COLLOM",17,"DIVERSE","RF","0","1","0","0","0","2","6","7","0","0","1","0","0","2","2","0","0","0","7","1","1","1","0","0"
"52","COLLOM",17,"DIVERSE","RF","0","1","0","0","0","2","7","8","0","0","11","0","0","4","0","0","0","0","5","0","0","1","0","0"
"53","COLLOM",17,"DIVERSE","RF","0","0","0","0","0","1","9","14","0","0","3","0","0","4","0","0","0","0","14","1","1","1","0","0"
"54","COLLOM",17,"DIVERSE","RF","0","1","0","1","0","1","1","3","0","1","9","0","0","0","1","0","0","0","4","1","0","0","0","0"
"55","COLLOM",17,"DIVERSE","RF","0","1","0","1","0","1","1","3","0","1","9","0","0","0","1","0","0","0","4","1","0","0","0","0"
"56","COLLOM",17,"DIVERSE","RF","0","0","0","1","0","0","12","7","0","1","8","0","2","4","0","0","0","0","30","4","0","0","0","0"
"57","COLLOM",17,"DIVERSE","RF","0","1","1","0","0","6","1","4","0","0","9","0","0","1","0","0","0","0","17","2","0","1","0","0"
"58","COLLOM",17,"DIVERSE","RF","0","0","0","1","0","6","3","6","0","0","24","0","5","1","0","0","0","0","10","1","1","0","0","0"
"59","COLLOM",8,"DIVERSE","RF","0","1","1","0","0","9","3","5","0","0","26","0","0","1","0","0","0","0","14","4","0","0","0","0"
"60","EPIDEN",6,"DIVERSE","RF","0","0","0","1","0","2","6","13","0","0","7","0","0","2","2","1","0","0","0","0","1","0","0","0"
"61","EPIDEN",4,"DIVERSE","RF","0","0","0","1","0","5","6","11","0","1","8","0","0","1","2","0","0","0","4","3","12","0","0","0"
"62","EPIDEN",14,"DIVERSE","RF","2","2","0","0","0","0","2","17","0","0","6","0","0","1","1","0","0","0","1","0","2","0","0","0"
"63","EPIDEN",7,"DIVERSE","RF","0","1","0","0","0","0","4","13","0","0","7","0","0","2","0","0","0","3","0","2","2","0","0","0"
"64","EPIDEN",84,"DIVERSE","RF","0","1","0","0","0","0","6","6","0","0","8","0","0","2","0","0","0","3","10","5","0","0","0","0"
"65","EPIDEN",12,"DIVERSE","RF","0","0","0","2","0","0","4","5","0","0","4","0","0","1","0","0","0","0","5","0","2","0","0","0"
"66","EPIDEN",11,"DIVERSE","RF","0","3","0","0","0","3","1","6","0","0","18","0","0","0","2","0","1","1","1","1","0","0","0","0"
"67","EPIDEN",19,"DIVERSE","RF","0","0","0","1","0","1","2","3","0","0","16","0","0","4","2","0","1","2","29","0","0","1","0","0"
"68","EPIDEN",4,"DIVERSE","RF","0","0","0","1","0","5","3","4","0","1","21","0","1","7","0","0","0","0","23","2","0","0","0","0"
"69","GILCAP",1,"DIVERSE","RF","0","0","0","0","0","5","17","12","0","0","6","0","0","2","0","0","0","0","3","2","3","0","0","0"
"70","GILCAP",1,"DIVERSE","RF","0","0","0","3","0","4","17","27","0","0","13","0","0","4","0","0","0","0","8","0","5","0","0","0"
"71","GILCAP",1,"DIVERSE","RF","0","0","0","0","0","3","5","22","0","0","20","0","0","13","1","0","0","0","10","0","3","1","0","0"
"72","GILCAP",1,"DIVERSE","RF","0","1","0","0","0","1","11","30","0","0","27","0","0","15","0","0","0","1","9","3","9","0","0","0"
"73","GILCAP",1,"DIVERSE","RF","0","1","0","2","0","4","18","32","0","0","15","0","0","11","1","0","0","0","14","4","4","0","0","0"
"74","GILCAP",1,"DIVERSE","RF","0","0","0","1","0","5","6","16","0","1","21","0","0","11","0","0","0","1","23","5","13","1","0","0"
"75","GILCAP",1,"DIVERSE","RF","0","0","0","1","0","5","6","11","0","1","8","0","0","1","2","0","0","0","4","3","12","0","0","0"
"76","GILCAP",2,"DIVERSE","RF","0","1","0","0","0","1","5","13","0","1","11","0","1","5","1","0","0","0","6","1","4","0","0","0"
"77","GILCAP",2,"DIVERSE","RF","0","0","0","3","0","4","4","13","0","0","11","0","0","3","0","0","0","3","9","1","2","0","0","0"
"78","GILCAP",1,"DIVERSE","RF","0","0","0","1","0","5","3","17","0","0","7","0","0","17","0","0","0","0","20","6","0","0","0","0"
"79","GILCAP",1,"DIVERSE","RF","0","0","0","3","0","2","5","9","0","0","4","0","0","8","1","0","0","1","10","2","0","0","0","0"
"80","GILCAP",1,"DIVERSE","RF","0","0","0","0","0","4","1","15","0","0","11","0","4","7","0","0","0","0","43","3","1","0","0","0"
"81","GILCAP",3,"DIVERSE","RF","0","0","0","0","0","3","8","7","0","0","7","1","0","3","2","0","0","0","13","2","1","0","0","0"
"82","GILCAP",1,"DIVERSE","RF","0","0","0","0","0","0","2","2","0","0","13","0","2","5","0","0","0","0","58","3","1","1","1","0"
"83","GILCAP",1,"DIVERSE","RF","0","0","0","0","0","0","2","2","0","0","13","0","2","5","0","0","0","0","58","3","1","1","1","0"
"84","GILCAP",1,"DIVERSE","RF","0","0","0","3","0","2","15","8","0","0","15","0","0","13","0","0","0","0","74","1","0","0","0","0"
"85","GILCAP",1,"DIVERSE","RF","0","0","0","4","0","9","3","5","0","0","24","0","2","5","0","0","0","0","25","6","1","0","0","0"
"86","GILCAP",1,"DIVERSE","RF","0","0","0","4","0","9","3","5","0","0","24","0","2","5","0","0","0","0","25","6","1","0","0","0"
"87","GILCAP",1,"DIVERSE","RF","0","0","2","0","1","0","14","14","0","0","22","0","0","6","0","0","0","1","21","0","2","0","0","0"
"88","NAVSQU",17,"DIVERSE","RF","0","0","0","2","0","2","3","13","0","0","11","1","0","2","1","0","0","0","15","1","0","1","0","0"
"89","NAVSQU",13,"DIVERSE","RF","0","0","0","0","0","5","2","6","0","0","4","0","0","3","0","0","0","0","9","0","5","0","0","1"
"90","NAVSQU",17,"DIVERSE","RF","0","0","0","0","0","4","10","6","0","0","5","0","0","5","0","0","0","0","12","2","0","0","0","0"
"91","NAVSQU",17,"DIVERSE","RF","0","0","0","1","0","6","14","13","0","0","14","0","0","9","1","0","0","5","58","8","3","1","0","0"
"92","NAVSQU",5,"DIVERSE","RF","0","0","0","1","0","5","6","16","0","1","21","0","0","11","0","0","0","1","23","5","13","1","0","0"
"93","NAVSQU",17,"DIVERSE","RF","0","0","0","1","0","5","6","11","0","1","8","0","0","1","2","0","0","0","4","3","12","0","0","0"
"94","NAVSQU",12,"DIVERSE","RF","0","0","1","1","0","1","4","11","0","0","6","0","0","5","0","0","0","0","19","1","1","0","0","0"
"95","NAVSQU",3,"DIVERSE","RF","0","0","1","1","0","1","4","11","0","0","6","0","0","5","0","0","0","0","19","1","1","0","0","0"
"96","NAVSQU",17,"DIVERSE","RF","0","3","1","1","0","0","4","6","0","0","8","1","0","8","0","0","0","0","19","3","1","0","0","0"
"97","NAVSQU",12,"DIVERSE","RF","0","2","0","3","0","0","3","5","0","0","20","1","0","4","0","0","0","0","31","1","1","0","0","0"
"98","NAVSQU",5,"DIVERSE","RF","0","0","0","3","0","4","9","6","0","0","4","0","0","5","0","0","0","0","28","3","2","1","0","0"
"99","NAVSQU",17,"DIVERSE","RF","0","1","0","1","0","2","2","8","1","0","2","0","0","7","0","0","0","0","45","1","1","0","0","0"
"100","NAVSQU",9,"DIVERSE","RF","0","3","0","1","0","4","1","10","0","0","7","0","3","6","0","0","1","0","33","2","1","0","0","0"
"101","NAVSQU",17,"DIVERSE","RF","0","0","0","2","0","5","3","9","0","0","14","0","0","7","0","0","1","0","58","1","2","0","0","0"
"102","NAVSQU",17,"DIVERSE","RF","0","3","0","0","0","1","1","9","0","1","18","0","1","2","0","0","0","0","41","2","1","0","0","0"
"103","NAVSQU",17,"DIVERSE","RF","0","0","4","2","0","0","0","2","0","1","51","0","1","1","0","0","0","1","5","2","0","0","0","0"
"104","NAVSQU",17,"DIVERSE","RF","0","0","0","0","0","12","0","1","0","0","8","0","0","1","0","0","1","0","3","1","0","0","0","1"
"105","PLAFIG",18,"DIVERSE","RF","0","0","0","0","0","3","7","12","0","0","8","0","0","1","0","0","0","0","1","1","1","0","0","0"
"106","PLAFIG",42,"DIVERSE","RF","0","0","0","0","0","4","2","6","0","0","12","0","0","1","1","0","0","0","4","3","1","0","0","0"
"107","PLAFIG",12,"DIVERSE","RF","0","0","0","0","0","5","9","12","0","0","8","1","0","0","1","0","0","0","6","2","4","0","0","0"
"108","PLAFIG",33,"DIVERSE","RF","0","0","0","1","0","2","5","27","0","0","8","0","0","4","1","0","0","0","3","3","0","0","0","0"
"109","PLAFIG",13,"DIVERSE","RF","0","0","0","2","0","2","12","26","0","0","23","0","0","8","0","0","0","7","9","2","2","0","0","0"
"110","PLAFIG",7,"DIVERSE","RF","0","0","0","2","0","4","13","17","0","0","18","0","0","11","0","0","0","0","19","4","5","0","0","0"
"111","PLAFIG",17,"DIVERSE","RF","0","0","0","1","0","4","16","18","0","1","11","0","0","10","0","0","0","0","14","0","0","0","0","0"
"112","PLAFIG",37,"DIVERSE","RF","0","0","0","1","0","4","16","18","0","1","11","0","0","10","0","0","0","0","14","0","0","0","0","0"
"113","PLAFIG",19,"DIVERSE","RF","0","0","0","2","0","4","18","16","0","1","6","0","0","1","1","0","0","0","4","1","8","0","0","0"
"114","PLAFIG",6,"DIVERSE","RF","0","0","0","0","0","2","10","12","0","1","6","0","1","2","0","0","1","0","5","1","1","0","0","0"
"115","PLAFIG",42,"DIVERSE","RF","0","0","0","1","0","5","3","17","0","0","7","0","0","17","0","0","0","0","20","6","0","0","0","0"
"116","PLAFIG",46,"DIVERSE","RF","0","0","0","0","0","5","7","9","0","0","19","0","0","3","0","0","0","0","10","0","1","0","0","0"
"117","PLAFIG",20,"DIVERSE","RF","0","1","0","1","0","2","2","8","1","0","2","0","0","7","0","0","0","0","45","1","1","0","0","0"
"118","PLAFIG",8,"DIVERSE","RF","0","1","0","1","0","2","2","8","1","0","2","0","0","7","0","0","0","0","45","1","1","0","0","0"
"119","PLAFIG",16,"DIVERSE","RF","0","2","0","1","0","5","0","13","0","0","11","0","0","5","0","0","0","0","38","1","1","0","0","0"
"120","PLAFIG",18,"DIVERSE","RF","0","0","0","0","0","3","8","7","0","0","7","1","0","3","2","0","0","0","13","2","1","0","0","0"
"121","PLAFIG",39,"DIVERSE","RF","0","0","0","0","0","1","4","19","0","0","19","0","0","9","1","0","2","0","22","3","4","0","0","0"
"122","PLAFIG",31,"DIVERSE","RF","0","0","0","0","0","1","1","0","0","0","12","0","0","3","0","0","0","0","31","1","1","0","0","0"
"123","PLAFIG",39,"DIVERSE","RF","0","0","0","1","0","14","6","13","0","0","21","0","2","4","0","0","0","0","32","2","1","0","0","0"
"124","PLAFIG",22,"DIVERSE","RF","0","0","0","0","0","10","5","8","0","0","21","0","0","0","0","0","0","0","11","3","0","1","0","0"
"125","PLAFIG",70,"DIVERSE","RF","0","0","0","2","0","15","7","2","0","0","23","0","0","2","0","0","1","0","9","2","0","0","0","0"
"126","PLECON",4,"DIVERSE","RF","0","0","0","0","0","3","7","12","0","0","8","0","0","1","0","0","0","0","1","1","1","0","0","0"
"127","PLECON",4,"DIVERSE","RF","0","0","0","0","0","4","2","6","0","0","12","0","0","1","1","0","0","0","4","3","1","0","0","0"
"128","PLECON",11,"DIVERSE","RF","0","0","0","0","0","5","8","16","0","0","6","0","0","6","0","0","0","0","12","5","2","0","0","0"
"129","PLECON",10,"DIVERSE","RF","0","0","0","1","0","1","9","29","0","0","2","1","0","4","0","0","0","0","4","3","5","1","0","0"
"130","PLECON",3,"DIVERSE","RF","0","0","0","1","0","2","4","22","0","0","11","0","0","5","0","0","0","0","4","2","4","0","0","0"
"131","PLECON",2,"DIVERSE","RF","0","1","0","0","0","1","11","30","0","0","27","0","0","15","0","0","0","1","9","3","9","0","0","0"
"132","PLECON",4,"DIVERSE","RF","0","0","0","2","0","1","8","18","0","0","13","0","0","4","3","0","0","0","3","3","3","0","0","0"
"133","PLECON",3,"DIVERSE","RF","0","0","1","1","0","1","4","11","0","0","6","0","0","5","0","0","0","0","19","1","1","0","0","0"
"134","PLECON",7,"DIVERSE","RF","0","0","0","2","0","0","4","5","0","0","4","0","0","1","0","0","0","0","5","0","2","0","0","0"
"135","PLECON",4,"DIVERSE","RF","0","1","0","1","0","2","2","8","1","0","2","0","0","7","0","0","0","0","45","1","1","0","0","0"
"136","PLECON",5,"DIVERSE","RF","0","0","0","0","0","1","9","14","0","0","3","0","0","4","0","0","0","0","14","1","1","1","0","0"
"137","PLECON",5,"DIVERSE","RF","0","1","0","0","0","0","4","8","0","0","5","1","0","1","2","0","0","0","0","1","2","0","0","0"
"138","PLECON",3,"DIVERSE","RF","0","0","0","0","0","3","8","7","0","0","7","1","0","3","2","0","0","0","13","2","1","0","0","0"
"139","PLECON",3,"DIVERSE","RF","0","0","0","0","0","1","1","0","0","0","12","0","0","3","0","0","0","0","31","1","1","0","0","0"
"140","PLECON",15,"DIVERSE","RF","0","1","0","1","0","5","1","5","0","0","18","0","0","1","1","0","0","0","36","2","3","0","0","0"
"141","PLECON",3,"DIVERSE","RF","0","1","0","1","0","5","1","5","0","0","18","0","0","1","1","0","0","0","36","2","3","0","0","0"
"142","PLECON",3,"DIVERSE","RF","0","1","0","1","0","5","1","5","0","0","18","0","0","1","1","0","0","0","36","2","3","0","0","0"
"143","PLECON",4,"DIVERSE","RF","0","0","0","1","0","5","3","4","0","1","21","0","1","7","0","0","0","0","23","2","0","0","0","0"
"144","PLECON",2,"DIVERSE","RF","0","0","0","1","0","10","4","3","0","1","34","0","0","0","0","0","1","0","1","0","2","0","0","0"
"145","PLECON",2,"DIVERSE","RF","0","0","0","2","0","10","3","9","0","0","7","0","0","1","0","0","0","0","0","1","1","0","0","0"
"146","CLAPUR",36,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","CLAPUR",489,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","CLAPUR",13,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","CLAPUR",0,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","CLAPUR",213,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","CLAPUR",8,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","CLAPUR",146,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","CLAPUR",96,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","CLAPUR",15,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","CLAPUR",0,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","CLAPUR",71,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","CLAPUR",19,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","CLAPUR",209,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","CLAPUR",45,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","COLLIN",879,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","COLLIN",691,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","COLLIN",478,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","COLLIN",158,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"164","COLLIN",238,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","COLLIN",501,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166","COLLIN",474,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","COLLIN",889,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168","COLLIN",144,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","COLLIN",129,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"171","COLLOM",62,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"172","COLLOM",129,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"174","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","COLLOM",31,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"177","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"178","COLLOM",13,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"179","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"181","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"182","COLLOM",4,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"183","COLLOM",8,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"184","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185","COLLOM",18,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"186","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"187","COLLOM",73,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"188","COLLOM",188,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","COLLOM",18,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190","COLLOM",113,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","COLLOM",43,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","COLLOM",25,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","COLLOM",62,"ALONE","RF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
