PARK,PLOT,SPECIES,REP,date,height,stemcount,fr1,fr2,fr3,fr4,fr5,EXACTFR,BIOMASS,TOPFR,SIDEFR,notes
BR,ALONE,EPIDEN,6,7/24/2024,6.4,1,,,,,,11,0.29,,,
BR,ALONE,EPIDEN,7,7/24/2024,7.1,1,,,,,,38,1.808,,,
BR,ALONE,EPIDEN,8,7/24/2024,7.3,1,,,,,,9,0.441,,,
BR,ALONE,EPIDEN,9,7/24/2024,6.0,1,,,,,,,,,,
BR,ALONE,EPIDEN,10,7/24/2024,6.1,1,,,,,,,,,,
BR,ALONE,EPIDEN,11,7/24/2024,6.8,1,,,,,,23,0.997,,,
BR,ALONE,EPIDEN,12,7/24/2024,7.1,1,,,,,,,,,,
BR,ALONE,GILCAP,1,,,,,,,,,,,,,GONE
BR,ALONE,GILCAP,2,7/24/2024,10.7,1,9,,,,,,0.765,,,
BR,ALONE,GILCAP,3,,,,,,,,,,,,,GONE
BR,ALONE,GILCAP,4,7/24/2024,13.6,1,14,,,,,,0.437,,,
BR,ALONE,GILCAP,5,7/24/2024,11.6,1,15,,,,,,0.952,,,
BR,ALONE,GILCAP,6,7/24/2024,8.3,1,17,,,,,,0.457,,,
BR,ALONE,GILCAP,7,7/24/2024,15.1,1,10,,,,,,0.912,,,
BR,ALONE,GILCAP,8,7/24/2024,10.0,1,16,,,,,,0.195,,,
BR,ALONE,GILCAP,9,7/24/2024,13.7,1,17,,,,,,1.15,,,
BR,ALONE,GILCAP,10,7/24/2024,29.0,1,17,,,,,,1.295,,,
BR,ALONE,GILCAP,11,7/24/2024,31.4,1,14,,,,,,,,,
BR,ALONE,COLLOM,1,7/24/2024,8.4,2,5,,,,,,0.618,9,1,
BR,ALONE,COLLOM,2,,,,,,,,,,,,,DEAD
BR,ALONE,COLLOM,3,7/24/2024,6.4,1,15,,,,,,1.544,6,4,
BR,ALONE,COLLOM,4,7/24/2024,12.4,1,32,,,,,,3.677,5,4,
BR,ALONE,COLLOM,5,7/24/2024,5.3,1,3,,,,,,0.329,0,2,
BR,ALONE,COLLOM,6,7/24/2024,6.2,1,2,,,,,,0.222,6,2,GONE
BR,ALONE,COLLOM,7,,,,,,,,,,,,,GONE
BR,ALONE,COLLOM,8,,,,,,,,,,,,,GONE
BR,ALONE,COLLOM,9,,,,,,,,,,,,,GONE
BR,ALONE,COLLOM,10,,,,,,,,,,,,,GONE
BR,ALONE,CLAPUR,1,7/24/2024,13.0,3,11,,,,,,0.371,,,
BR,ALONE,CLAPUR,2,,,,,,,,,,,,,GONE
BR,ALONE,CLAPUR,3,,,,,,,,,,,,,GONE
BR,ALONE,CLAPUR,4,7/24/2024,9.5,1,2,,,,,,0.136,,,
BR,ALONE,CLAPUR,5,7/24/2024,12.1,2,3,,,,,,0.199,,,
BR,ALONE,CLAPUR,6,7/24/2024,10.2,1,4,,,,,,0.304,,,
BR,ALONE,CLAPUR,7,7/24/2024,13.6,1,9,,,,,,0.469,,,
BR,ALONE,CLAPUR,8,7/24/2024,6.9,1,4,,,,,,,,,
BR,ALONE,CLAPUR,9,7/24/2024,14.9,4,9,,,,,,,,,
BR,ALONE,CLAPUR,10,7/24/2024,14.3,1,11,,,,,,0.528,,,
BR,ALONE,CLAPUR,11,7/24/2024,17.2,1,3,,,,,,0.189,,,
BR,ALONE,CLAPUR,12,7/24/2024,5.3,2,5,,,,,,0.167,,,
BR,ALONE,COLLIN,1,7/2/2024,9.0,1,16,,,,,,,,,
BR,ALONE,COLLIN,2,,,,,,,,,,,,,GONE
BR,ALONE,COLLIN,3,,,,,,,,,,,,,GONE
BR,ALONE,COLLIN,4,7/2/2024,22.7,1,39,,,,,,0.053,,,
BR,ALONE,COLLIN,5,7/2/2024,4.5,1,5,,,,,,0.041,,,
BR,ALONE,COLLIN,6,7/2/2024,12.6,1,12,,,,,,0.21,,,
BR,ALONE,COLLIN,7,7/2/2024,8.5,1,2,,,,,,0.132,,,
BR,ALONE,COLLIN,8,7/2/2024,7.6,1,2,,,,,,0.015,,,
BR,ALONE,COLLIN,9,7/2/2024,6.0,1,3,,,,,,0.02,,,
BR,ALONE,COLLIN,10,7/2/2024,8.6,1,6,,,,,,,,,
BR,ALONE,COLLIN,11,7/2/2024,7.5,1,8,,,,,,,,,
BR,ALONE,COLLIN,12,7/2/2024,4.4,1,1,,,,,,,,,
SEM,ALONE,PLECON,1,6/25/2024,37.4,1,15,,,,,,None,,,
SEM,ALONE,PLECON,2,,,,,,,,,,None,,,GONE?
SEM,ALONE,PLECON,3,,,,,,,,,,None,,,GONE?
SEM,ALONE,PLECON,4,6/25/2024,24.1,1,25,,,,,,None,,,
SEM,ALONE,PLECON,5,6/25/2024,21.4,1,32,,,,,,None,,,
SEM,ALONE,PLECON,6,6/25/2024,20.5,1,58,,,,,,None,,,
SEM,ALONE,PLECON,7,6/25/2024,18.1,1,7,,,,,,None,,,
SEM,ALONE,PLECON,8,7/18/2024,25.2,1,35,,,,,,None,,,
SEM,ALONE,PLECON,9,7/18/2024,33.1,1,40,,,,,,None,,,
SEM,ALONE,PLECON,10,6/25/2024,15.6,1,10,,,,,,None,,,
SEM,ALONE,NAVSQU,1,7/18/2024,28.5,7,52,,,,,,7.713,43,26,
SEM,ALONE,NAVSQU,2,7/18/2024,38.0,6,30,,,,,,4.798,33,27,
SEM,ALONE,NAVSQU,3,7/18/2024,43.5,6,59,,,,,,11.496,44,32,
SEM,ALONE,NAVSQU,4,7/18/2024,38.4,5,42,,,,,,5.632,40,14,
SEM,ALONE,NAVSQU,5,7/18/2024,40.1,5,14,,,,,,,,,
SEM,ALONE,NAVSQU,6,7/18/2024,44.4,1,29,,,,,,5.59,37,18,
SEM,ALONE,NAVSQU,7,7/18/2024,42.0,11,69,,,,,,13.632,48,33,
SEM,ALONE,NAVSQU,8,7/18/2024,27.3,1,10,,,,,,0.998,25,8,
SEM,ALONE,NAVSQU,9,7/18/2024,40.0,9,50,,,,,,7.398,44,38,
SEM,ALONE,NAVSQU,10,7/18/2024,45.1,10,85,,,,,,,,,
SEM,ALONE,PLAFIG,1,7/18/2024,,,724,,,,,,,,,
SEM,ALONE,PLAFIG,2,7/18/2024,,,466,,,,,,,,,
SEM,ALONE,PLAFIG,3,7/18/2024,,,1705,,,,,,,,,
SEM,ALONE,PLAFIG,4,7/18/2024,,,179,,,,,,,,,
SEM,ALONE,PLAFIG,5,7/18/2024,,,113,,,,,,,,,
SEM,ALONE,PLAFIG,6,7/18/2024,,,565,,,,,,,,,
SEM,ALONE,PLAFIG,7,7/18/2024,,,544,,,,,,,,,
SEM,ALONE,PLAFIG,8,7/18/2024,,,688,,,,,,,,,
SEM,ALONE,PLAFIG,9,7/18/2024,,,732,,,,,,,,,
SEM,ALONE,PLAFIG,10,7/18/2024,,,297,,,,,,,,,
SEM,ALONE,PLAFIG,11,7/18/2024,,,1055,,,,,,,,,
SEM,ALONE,EPIDEN,1,7/18/2024,11.0,,,,,,,42,1.873,,,
SEM,ALONE,EPIDEN,2,7/18/2024,7.5,,,,,,,61,1.682,,,
SEM,ALONE,EPIDEN,3,7/18/2024,9.9,,,,,,,78,2.672,,,
SEM,ALONE,EPIDEN,4,7/18/2024,12.4,,,,,,,45,1.752,,,
SEM,ALONE,EPIDEN,5,7/18/2024,9.7,,,,,,,12,0.806,,,
SEM,ALONE,EPIDEN,6,7/18/2024,11.8,,,,,,,99,2.839,,,
SEM,ALONE,EPIDEN,7,7/18/2024,28.2,,,,,,,166,3.957,,,
SEM,ALONE,EPIDEN,8,7/18/2024,12.1,,,,,,,156,3.128,,,
SEM,ALONE,EPIDEN,9,7/18/2024,10.0,,,,,,,,,,,
SEM,ALONE,EPIDEN,10,7/18/2024,12.6,,,,,,,,,,,
SEM,ALONE,GILCAP,1,7/19/2024,12.0,,34,,,,,,2.16,,,
SEM,ALONE,GILCAP,2,7/19/2024,17.1,,37,,,,,,3.918,,,
SEM,ALONE,GILCAP,3,7/19/2024,15.5,,39,,,,,,2.577,,,
SEM,ALONE,GILCAP,4,7/19/2024,15.4,,9,,,,,,0.176,,,
SEM,ALONE,GILCAP,5,7/19/2024,14.0,,56,,,,,,2.982,,,
SEM,ALONE,GILCAP,6,7/19/2024,13.0,,21,,,,,,2.385,,,
SEM,ALONE,GILCAP,7,7/19/2024,19.5,,54,,,,,,3.645,,,
SEM,ALONE,GILCAP,8,7/19/2024,13.8,,17,,,,,,2.052,,,
SEM,ALONE,GILCAP,9,7/19/2024,10.9,,43,,,,,,3.247,,,
SEM,ALONE,GILCAP,10,7/19/2024,14.5,,30,,,,,,2.273,,,
SEM,ALONE,COLLOM,1,7/18/2024,4.4,1,7,,,,,,0.3897,1,1,
SEM,ALONE,COLLOM,2,,,,,,,,,,,,,GONE
SEM,ALONE,COLLOM,3,,,,,,,,,,,,,GONE
SEM,ALONE,COLLOM,4,7/18/2024,4.5,1,10,,,,,,0.934,1,1,
SEM,ALONE,COLLOM,5,7/18/2024,3.8,1,5,,,,,,0.9152,1,1,
SEM,ALONE,COLLOM,6,7/18/2024,3.0,1,5,,,,,,0.1489,1,1,
SEM,ALONE,COLLOM,7,7/18/2024,4.6,1,13,,,,,,1.2805,1,1,
SEM,ALONE,COLLOM,8,,,,,,,,,,,,,GONE
SEM,ALONE,COLLOM,9,,,,,,,,,,,,,GONE
SEM,ALONE,COLLOM,10,,,,,,,,,,,,,GONE
SEM,ALONE,CLAPUR,11,8/7/2024,6.5,1,7,,,,,,0.267,,,
SEM,ALONE,CLAPUR,12,8/7/2024,5.9,1,11,,,,,,0.47,,,
SEM,ALONE,CLAPUR,13,8/7/2024,7.6,1,22,,,,,,0.564,,,
SEM,ALONE,CLAPUR,4,8/7/2024,7.9,1,10,,,,,,0.716,,,
SEM,ALONE,CLAPUR,5,8/7/2024,7.7,1,29,,,,,,0.801,,,
SEM,ALONE,CLAPUR,6,8/7/2024,6.1,1,16,,,,,,0.367,,,
SEM,ALONE,CLAPUR,7,8/7/2024,4.5,1,2,,,,,,0.111,,,
SEM,ALONE,CLAPUR,8,8/7/2024,8.1,1,8,,,,,,0.468,,,
SEM,ALONE,CLAPUR,9,8/7/2024,11.6,1,10,,,,,,0.654,,,
SEM,ALONE,CLAPUR,10,8/7/2024,7.0,1,9,,,,,,0.39,,,
SEM,ALONE,COLLIN,1,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,2,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,3,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,4,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,5,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,6,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,7,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,8,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,9,,,,,,,,,,,,,GONE
SEM,ALONE,COLLIN,10,,,,,,,,,,,,,GONE
WIR,ALONE,PLECON,1,6/25/2024,15.7,42,1,,,,,,none,,,
WIR,ALONE,PLECON,2,6/25/2024,24.5,1,8,,,,,,none,,,
WIR,ALONE,PLECON,3,7/2/2024,10.0,1,5,,,,,,none,,,
WIR,ALONE,PLECON,4,6/25/2024,15.9,1,13,,,,,,none,,,
WIR,ALONE,PLECON,5,6/25/2024,24.2,1,33,,,,,,none,,,
WIR,ALONE,PLECON,6,6/25/2024,19.1,1,31,,,,,,none,,,
WIR,ALONE,PLECON,7,6/25/2024,38.1,1,65,,,,,,none,,,
WIR,ALONE,PLECON,8,6/25/2024,32.3,1,75,,,,,,none,,,
WIR,ALONE,PLECON,9,,,,,,,,,,,,,dead
WIR,ALONE,PLECON,10,,,,,,,,,,,,,dead
WIR,ALONE,NAVSQU,1,7/12/2024,40.0,,56,,,,,,11.504,33,7,
WIR,ALONE,NAVSQU,2,7/12/2024,52.0,,132,,,,,,25.258,30,8,
WIR,ALONE,NAVSQU,3,7/12/2024,49.0,,191,,,,,,36.033,35,12,
WIR,ALONE,NAVSQU,4,7/12/2024,53.0,,157,,,,,,,,1,
WIR,ALONE,NAVSQU,5,7/12/2024,52.0,,154,,,,,,29.674,27,8,
WIR,ALONE,NAVSQU,6,7/12/2024,50.0,,91,,,,,,14.817,40,12,
WIR,ALONE,NAVSQU,7,7/12/2024,55.0,,159,,,,,,26.928,26,17,
WIR,ALONE,NAVSQU,8,7/12/2024,57.0,,102,,,,,,24.536,38,22,
WIR,ALONE,NAVSQU,9,7/12/2024,45.0,,71,,,,,,13.237,35,10,
WIR,ALONE,NAVSQU,10,7/12/2024,47.0,,69,,,,,,,,,
WIR,ALONE,PLAFIG,1,7/2/2024,43.2,7,142,397,247,754,490,2030,,,,
WIR,ALONE,PLAFIG,2,7/2/2024,35.8,6,172,43,230,136,726,1307,,,,
WIR,ALONE,PLAFIG,3,7/2/2024,33.5,8,145,198,146,481,166,1136,,,,
WIR,ALONE,PLAFIG,4,7/2/2024,30.5,4,175,279,519,89,,1062,,,,
WIR,ALONE,PLAFIG,5,7/2/2024,44.3,7,137,523,186,100,127,1073,,,,
WIR,ALONE,PLAFIG,6,7/2/2024,31.5,8,289,99,248,81,198,915,,,,
WIR,ALONE,PLAFIG,7,7/2/2024,49.6,5,582,300,398,141,300,1721,,,,
WIR,ALONE,PLAFIG,8,7/2/2024,37.8,7,53,54,107,156,101,471,,,,
WIR,ALONE,PLAFIG,9,7/2/2024,32.7,6,114,157,95,283,63,712,,,,
WIR,ALONE,PLAFIG,10,7/2/2024,33.5,14,86,48,120,121,33,408,,,,
WIR,ALONE,EPIDEN,1,7/12/2024,10.7,,,,,,,156,3.1,,,
WIR,ALONE,EPIDEN,2,7/12/2024,13.7,,,,,,,149,3.921,,,
WIR,ALONE,EPIDEN,3,7/12/2024,15.4,,,,,,,164,6.217,,,
WIR,ALONE,EPIDEN,4,7/12/2024,10.8,,,,,,,184,3.903,,,
WIR,ALONE,EPIDEN,5,7/12/2024,7.6,,,,,,,39,1.481,,,
WIR,ALONE,EPIDEN,6,7/12/2024,12.2,,,,,,,73,1.759,,,
WIR,ALONE,EPIDEN,7,7/12/2024,11.6,,,,,,,,,,,
WIR,ALONE,EPIDEN,8,7/12/2024,14.8,,,,,,,,,,,
WIR,ALONE,EPIDEN,9,7/12/2024,11.4,,,,,,,122,3.023,,,
WIR,ALONE,EPIDEN,10,7/12/2024,12.8,,,,,,,,,,,
WIR,ALONE,EPIDEN,11,7/12/2024,8.4,,,,,,,,,,,
WIR,ALONE,EPIDEN,12,7/12/2024,11.6,,,,,,,77,2.071,,,
WIR,ALONE,GILCAP,1,7/12/2024,13.0,,,,,,,,,,,herbivory
WIR,ALONE,GILCAP,2,7/12/2024,9.0,,38,,,,,,2.972,,,herbivory
WIR,ALONE,GILCAP,3,7/12/2024,13.5,,101,,,,,,8.286,,,herbivory
WIR,ALONE,GILCAP,4,7/12/2024,23.0,,51,,,,,,3.267,,,herbivory
WIR,ALONE,GILCAP,5,7/12/2024,24.0,,92,,,,,,,,,herbivory
WIR,ALONE,GILCAP,6,7/12/2024,24.0,,75,,,,,,5.11,,,herbivory
WIR,ALONE,GILCAP,7,7/12/2024,13.0,,58,,,,,,3.298,,,herbivory
WIR,ALONE,GILCAP,8,7/12/2024,24.0,,45,,,,,,3.147,,,herbivory
WIR,ALONE,GILCAP,9,7/12/2024,18.0,,81,,,,,,2.922,,,herbivory
WIR,ALONE,GILCAP,10,7/12/2024,12.0,,57,,,,,,4.229,,,herbivory
WIR,ALONE,COLLOM,1,,,,,,,,,,,,,gone
WIR,ALONE,COLLOM,2,7/12/2024,8.1,,15,,,,,,1.505,6,4,
WIR,ALONE,COLLOM,3,7/12/2024,11.4,,32,,,,,,5.5,21,11,
WIR,ALONE,COLLOM,4,7/12/2024,10.2,,26,,,,,,3.835,13,6,
WIR,ALONE,COLLOM,5,7/12/2024,7.9,,4,,,,,,1.234,10,7,
WIR,ALONE,COLLOM,6,7/12/2024,8.0,,28,,,,,,2.794,11,9,
WIR,ALONE,COLLOM,7,7/12/2024,10.3,,30,,,,,,3.552,10,4,
WIR,ALONE,COLLOM,8,7/12/2024,6.6,,11,,,,,,1.304,19,9,
WIR,ALONE,COLLOM,9,7/12/2024,8.3,,7,,,,,,1.0729,13,10,
WIR,ALONE,COLLOM,10,7/12/2024,9.1,,9,,,,,,,,,
WIR,ALONE,CLAPUR,1,7/12/2024,10.7,,30,,,,,,1.4725,,,
WIR,ALONE,CLAPUR,2,7/12/2024,11.4,,19,,,,,,0.6239,,,
WIR,ALONE,CLAPUR,3,7/12/2024,10.6,,71,,,,,,2.0077,,,
WIR,ALONE,CLAPUR,4,7/12/2024,14.4,,76,,,,,,,,,
WIR,ALONE,CLAPUR,5,7/12/2024,14.5,,93,,,,,,,,,
WIR,ALONE,CLAPUR,6,7/12/2024,15.6,,34,,,,,,1.6878,,,
WIR,ALONE,CLAPUR,7,7/12/2024,11.5,,18,,,,,,0.6785,,,
WIR,ALONE,CLAPUR,8,7/12/2024,10.3,,58,,,,,,3.385,,,
WIR,ALONE,CLAPUR,9,7/12/2024,14.5,,33,,,,,,0.557,,,
WIR,ALONE,CLAPUR,10,7/12/2024,7.1,,2,,,,,,,,,
WIR,ALONE,CLAPUR,11,7/12/2024,13.5,1,51,,,,,,0.9403,,,
WIR,ALONE,CLAPUR,12,7/12/2024,7.6,1,37,,,,,,,,,
WIR,ALONE,CLAPUR,13,7/12/2024,16.0,1,22,,,,,,,,,
WIR,ALONE,COLLIN,1,,,,,,,,,,,,,dead
WIR,ALONE,COLLIN,2,,,,,,,,,,,,,dead
WIR,ALONE,COLLIN,3,7/2/2024,7.3,1,0,,,,,,,,,
WIR,ALONE,COLLIN,4,7/2/2024,14.4,1,33,,,,,,,,,
WIR,ALONE,COLLIN,5,7/2/2024,17.1,1,118,,,,,,,,,
WIR,ALONE,COLLIN,6,7/2/2024,21.6,1,41,,,,,,,,,
WIR,ALONE,COLLIN,7,7/2/2024,8.2,1,24,,,,,,,,,
WIR,ALONE,COLLIN,8,7/2/2024,10.1,1,12,,,,,,,,,
WIR,ALONE,COLLIN,9,7/2/2024,8.5,1,4,,,,,,,,,
WIR,ALONE,COLLIN,10,7/2/2024,5.2,1,10,,,,,,,,,
WIR,ALONE,COLLIN,11,7/2/2024,4.5,1,7,,,,,,,,,
WIR,ALONE,COLLIN,12,7/2/2024,9.3,1,2,,,,,,,,,
WIR,ALONE,COLLIN,13,7/2/2024,5.6,1,2,,,,,,,,,
RF,ALONE,PLECON,1,6/25/2024,47.8,1,190,,,,,,none,,,BS main stem
RF,ALONE,PLECON,2,6/25/2024,45.5,1,62,,,,,,none,,,
RF,ALONE,PLECON,3,6/25/2024,51.5,1,113,,,,,,none,,,
RF,ALONE,PLECON,4,6/25/2024,55.9,1,204,,,,,,none,,,
RF,ALONE,PLECON,5,6/25/2024,46.2,1,31,,,,,,none,,,
RF,ALONE,PLECON,6,6/25/2024,50.5,1,219,,,,,,none,,,
RF,ALONE,PLECON,7,6/25/2024,42.7,1,86,,,,,,none,,,
RF,ALONE,PLECON,8,6/25/2024,60.5,1,152,,,,,,none,,,
RF,ALONE,PLECON,9,6/25/2024,56.1,1,163,,,,,,none,,,
RF,ALONE,PLECON,10,6/25/2024,51.6,1,280,,,,,,none,,,
RF,ALONE,PLECON,11,6/25/2024,35.4,1,30,,,,,,none,,,
RF,ALONE,NAVSQU,1,7/10/2024,48.2,14,145,,,,,,23.334,43,38,
RF,ALONE,NAVSQU,2,7/10/2024,61.5,19,319,,,,,,55.398,42,38,
RF,ALONE,NAVSQU,3,7/10/2024,49.1,6,54,,,,,,9.035,39,23,
RF,ALONE,NAVSQU,4,7/10/2024,44.0,10,57,,,,,,9.511,37,11,
RF,ALONE,NAVSQU,5,7/10/2024,55.7,10,85,,,,,,14.219,44,12,
RF,ALONE,NAVSQU,6,7/10/2024,49.5,10,59,,,,,,13.96,43,29,
RF,ALONE,NAVSQU,7,7/10/2024,52.1,15,206,,,,,,,,,
RF,ALONE,NAVSQU,8,7/10/2024,52.5,7,51,,,,,,9.718,38,14,
RF,ALONE,NAVSQU,9,7/10/2024,45.1,7,38,,,,,,5.879,39,31,
RF,ALONE,NAVSQU,10,7/10/2024,50.0,10,157,,,,,,,,,
RF,ALONE,NAVSQU,11,7/10/2024,47.5,7,51,,,,,,,,,
RF,ALONE,PLAFIG,1,6/28/2024,58.1,9,214,171,177,218,348,1128,none,,,
RF,ALONE,PLAFIG,2,6/28/2024,62.1,8,394,322,460,161,640,1977,none,,,
RF,ALONE,PLAFIG,3,6/28/2024,41.1,5,20,29,48,95,77,269,none,,,
RF,ALONE,PLAFIG,4,6/28/2024,49.8,11,90,162,143,208,208,811,none,,,
RF,ALONE,PLAFIG,5,6/28/2024,66.7,10,273,521,369,584,776,2523,none,,,
RF,ALONE,PLAFIG,6,6/28/2024,56.3,8,170,178,339,157,389,1233,none,,,
RF,ALONE,PLAFIG,7,6/28/2024,55.6,6,28,106,32,134,121,421,none,,,
RF,ALONE,PLAFIG,8,6/28/2024,38.7,5,29,32,178,31,16,286,none,,,
RF,ALONE,PLAFIG,9,6/28/2024,44.0,10,94,81,221,285,165,846,none,,,
RF,ALONE,PLAFIG,10,6/28/2024,44.1,6,65,73,22,112,42,314,none,,,
RF,ALONE,EPIDEN,1,7/10/2024,80.8,2,,,,,,53,20.159,,,
RF,ALONE,EPIDEN,2,7/10/2024,80.8,1,,,,,,128,6.737,,,
RF,ALONE,EPIDEN,3,7/10/2024,54.8,1,,,,,,100,3.527,,,
RF,ALONE,EPIDEN,4,7/10/2024,60.9,3,,,,,,150,9.377,,,
RF,ALONE,EPIDEN,5,7/10/2024,79.3,4,,,,,,,,,,
RF,ALONE,EPIDEN,6,7/10/2024,74.2,1,,,,,,104,4.435,,,
RF,ALONE,EPIDEN,7,7/10/2024,64.9,3,,,,,,223,9.446,,,
RF,ALONE,EPIDEN,8,7/10/2024,73.7,3,,,,,,319,15.647,,,
RF,ALONE,EPIDEN,9,7/10/2024,74.3,7,,,,,,,,,,
RF,ALONE,EPIDEN,10,7/10/2024,72.6,4,,,,,,,,,,
RF,ALONE,EPIDEN,11,7/10/2024,45.0,2,,,,,,99,2.536,,,
RF,ALONE,EPIDEN,12,7/10/2024,73.9,5,,,,,,,,,,
RF,ALONE,EPIDEN,13,7/10/2024,80.6,1,,,,,,,,,,
RF,ALONE,GILCAP,1,7/8/2024,66.0,,39,,,,,,,,,
RF,ALONE,GILCAP,2,7/8/2024,85.0,,84,,,,,,,,,
RF,ALONE,GILCAP,3,7/8/2024,73.0,,28,,,,,,,,,
RF,ALONE,GILCAP,4,7/8/2024,58.0,,105,,,,,,,,,
RF,ALONE,GILCAP,5,7/8/2024,75.0,,60,,,,,,,,,
RF,ALONE,GILCAP,6,7/8/2024,66.0,,85,,,,,,,,,
RF,ALONE,GILCAP,7,7/8/2024,68.0,,97,,,,,,,,,
RF,ALONE,GILCAP,8,7/8/2024,77.1,,51,,,,,,,,,
RF,ALONE,GILCAP,9,7/8/2024,88.2,,40,,,,,,,,,
RF,ALONE,GILCAP,10,7/8/2024,95.0,,89,,,,,,,,,
RF,ALONE,COLLOM,1,7/10/2024,83.0,1,68,,,,,,,,,
RF,ALONE,COLLOM,2,7/10/2024,85.0,1,34,,,,,,,118,46,
RF,ALONE,COLLOM,3,7/10/2024,83.0,8,81,,,,,,,64,45,
RF,ALONE,COLLOM,4,7/10/2024,81.0,11,225,,,,,,,76,41,
RF,ALONE,COLLOM,5,7/10/2024,77.0,1,102,,,,,,,,,
RF,ALONE,COLLOM,6,7/10/2024,68.1,13,82,,,,,,,180,101,
RF,ALONE,COLLOM,7,7/10/2024,82.4,9,123,,,,,,,185,34,
RF,ALONE,COLLOM,8,7/10/2024,71.0,4,38,,,,,,,123,45,
RF,ALONE,COLLOM,9,7/10/2024,67.3,1,16,,,,,,,100,44,
RF,ALONE,COLLOM,10,7/10/2024,56.5,1,25,,,,,,,110,22,
RF,ALONE,COLLOM,11,7/10/2024,73.5,4,237,,,,,,,,,
RF,ALONE,COLLOM,12,7/10/2024,79.9,2,106,,,,,,,,,
RF,ALONE,COLLOM,13,7/10/2024,80.2,7,,,,,,,,,,
RF,ALONE,CLAPUR,1,7/10/2024,,,,,,,,,,,,gone
RF,ALONE,CLAPUR,2,7/10/2024,113.2,1,213,,,,,,,,,
RF,ALONE,CLAPUR,3,7/10/2024,,,,,,,,,,,,gone
RF,ALONE,CLAPUR,4,7/10/2024,79.6,2,71,,,,,,,,,
RF,ALONE,CLAPUR,5,7/10/2024,59.6,1,19,,,,,,,,,
