PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,STEMS,TOTAL FR,BAGGED,EXACTFR,BIOMASS,TOPFR,SIDEFR,NOTES
BR,DIVERSE,COLLOM,22,7/25/24,9,E5,14.4,1,1,,,,,,
BR,DIVERSE,COLLOM,23,7/25/24,13,A1,17.2,1,1,y,,0.574,18,0,
BR,DIVERSE,COLLOM,24,7/25/24,13,D1,13.5,1,1,y,,,,,
BR,DIVERSE,EPIDEN,1,7/24/24,4,A2,11.6,,,y,6,0.105,,,
BR,DIVERSE,EPIDEN,2,7/25/24,13,D2,11.2,1,,,5,0.043,,,
BR,DIVERSE,EPIDEN,3,7/25/24,5,C1,8.5,1,,y,4,0.056,,,
BR,DIVERSE,EPIDEN,4,7/24/24,1,B2,30.6,,,y,19,0.372,,,
BR,DIVERSE,EPIDEN,5,7/24/24,1,C2,11.3,,,y,,,,,
BR,DIVERSE,EPIDEN,6,7/24/24,2,B5,14.9,1,,y,,,,,
BR,DIVERSE,EPIDEN,7,7/24/24,2,A5,7.5,1,,y,,,,,
BR,DIVERSE,EPIDEN,7,7/24/24,2,D3,7.9,1,,y,,,,,
BR,DIVERSE,EPIDEN,8,7/24/24,2,D1,6,1,,y,1,0.007,,,
BR,DIVERSE,EPIDEN,9,7/24/24,3,B4,12.3,,,y,,,,,
BR,DIVERSE,EPIDEN,10,7/24/24,3,D3,15.8,,,y,,,,,
BR,DIVERSE,EPIDEN,11,7/24/24,3,C3,11.3,1,,y,,,,,
BR,DIVERSE,EPIDEN,12,7/24/24,4,E2,10.1,1,,y,,,,,
BR,DIVERSE,EPIDEN,13,7/24/24,4,C1,6,1,,y,3,0.013,,,
BR,DIVERSE,EPIDEN,14,7/24/24,4,E3,9.8,1,,y,,,,,
BR,DIVERSE,EPIDEN,15,7/25/24,5,B1,9.4,1,,y,,,,,
BR,DIVERSE,EPIDEN,16,7/25/24,5,E3,14.6,,,y,,,,,
BR,DIVERSE,EPIDEN,17,7/25/24,5,B3,13.5,,,y,4,0.051,,,
BR,DIVERSE,EPIDEN,18,7/25/24,5,A4,15.1,1,,y,,,,,
BR,DIVERSE,EPIDEN,19,7/25/24,12,D2,16.6,1,,y,,,,,
BR,DIVERSE,EPIDEN,20,7/25/24,12,B5,6.2,1,,y,,,,,
BR,DIVERSE,EPIDEN,21,7/25/24,12,A5,32.4,1,,y,22,0.598,,,
BR,DIVERSE,EPIDEN,22,7/25/24,9,D2,17.3,,,,,,,,
BR,DIVERSE,EPIDEN,23,7/25/24,9,A4,28.2,1,,,,,,,
BR,DIVERSE,EPIDEN,24,7/25/24,13,C5,13,1,,y,,,,,
BR,DIVERSE,EPIDEN,25,7/25/24,13,E1,11.5,1,,y,,,,,
BR,DIVERSE,GILCAP,1,7/25/24,12,D3,16.8,2,2,y,,0.099,,,BT
BR,DIVERSE,GILCAP,2,7/24/24,4,E5,17.8,1,2,y,,0.141,,,
BR,DIVERSE,GILCAP,3,7/25/24,4,B1,22.1,1,2,y,,0.1,,,
BR,DIVERSE,GILCAP,4,7/24/24,1,A3,42.9,,5,y,,0.928,,,
BR,DIVERSE,GILCAP,5,7/24/24,1,D1,30.3,,3,y,,0.209,,,BT
BR,DIVERSE,GILCAP,6,7/24/24,1,B4,22.7,,3,y,,0.36,,,
BR,DIVERSE,GILCAP,7,7/24/24,3,A1,41.7,1,1,y,,0.218,,,
BR,DIVERSE,GILCAP,8,7/24/24,3,A2,32.4,3,2,y,,0.404,,,
BR,DIVERSE,GILCAP,9,7/24/24,3,A4,48.6,1,1,n,,,,,
BR,DIVERSE,GILCAP,10,7/24/24,3,A3,32.2,1,2,n,,,,,
BR,DIVERSE,GILCAP,11,7/24/24,4,A4,39.7,3,2,n,,,,,
BR,DIVERSE,GILCAP,12,7/24/24,4,B1,20.3,1,3,n,,,,,
BR,DIVERSE,GILCAP,13,7/24/24,4,A1,56.8,,4,n,,,,,
BR,DIVERSE,GILCAP,14,7/25/24,5,D1,30,2,3,n,,,,,
BR,DIVERSE,GILCAP,15,7/25/24,5,C2,34.3,,5,n,,,,,
BR,DIVERSE,GILCAP,16,7/25/24,5,A2,54.6,1,1,n,,,,,
BR,DIVERSE,GILCAP,17,7/25/24,5,B4,34.8,,5,n,,,,,
BR,DIVERSE,GILCAP,18,7/25/24,5,C5,23.3,,3,,,,,,
BR,DIVERSE,GILCAP,19,7/25/24,12,E4,41.3,1,3,n,,,,,BT
BR,DIVERSE,GILCAP,20,7/25/24,12,D1,25.2,1,1,n,,,,,
BR,DIVERSE,GILCAP,21,7/25/24,12,C3,43.1,2,4,n,,,,,
BR,DIVERSE,GILCAP,22,7/25/24,12,B2,32.1,1,2,n,,,,,
BR,DIVERSE,GILCAP,23,7/25/24,12,A2,25.2,6,6,n,,,,,Did not count neighbors
BR,DIVERSE,GILCAP,24,7/25/24,9,C3,44.3,1,5,,,,,,
BR,DIVERSE,GILCAP,25,7/25/24,9,A5,21.5,1,1,,,,,,
BR,DIVERSE,GILCAP,26,7/25/24,13,C4,26.4,1,1,n,,,,,
BR,DIVERSE,GILCAP,27,7/25/24,13,E3,32.6,1,2,n,,,,,
BR,DIVERSE,GILCAP,28,7/25/24,13,C4,44.5,2,8,n,,,,,
BR,DIVERSE,GILCAP,29,7/25/24,13,C2,49.2,1,8,n,,,,,
BR,DIVERSE,NAVSQU,1,7/24/24,4,C2,29.7,1,2,y,,0.582,26,3,
BR,DIVERSE,NAVSQU,2,7/25/24,9,C2,27.6,1,1,y,,0.435,33,0,
BR,DIVERSE,NAVSQU,3,7/24/24,4,B2,44.1,1,11,y,,1.561,22,11,
BR,DIVERSE,NAVSQU,4,7/24/24,1,A1,6.7,,1,y,,,,,
BR,DIVERSE,NAVSQU,5,7/24/24,1,C3,13.9,,1,y,,,,,
BR,DIVERSE,NAVSQU,6,7/24/24,2,D5,10.9,1,1,y,,,,,
BR,DIVERSE,NAVSQU,7,7/24/24,2,E4,9.5,1,1,y,,,,,
BR,DIVERSE,NAVSQU,8,7/24/24,2,C3,4.8,1,1,y,,,,,
BR,DIVERSE,NAVSQU,9,7/24/24,3,D4,23.6,1,3,y,,,,,
BR,DIVERSE,NAVSQU,10,7/24/24,3,E3,23.2,1,4,y,,0.532,24,4,
BR,DIVERSE,NAVSQU,11,7/24/24,4,D2,5.7,1,1,y,,,,,
BR,DIVERSE,NAVSQU,12,7/24/24,4,E1,18.4,1,1,y,,,,,
BR,DIVERSE,NAVSQU,13,7/24/24,4,D4,10.9,1,1,y,,0.037,5,0,
BR,DIVERSE,NAVSQU,13,7/24/24,4,D3,6.1,1,1,y,,,,,
BR,DIVERSE,NAVSQU,14,7/25/24,5,A1,24.7,1,2,y,,,,,
BR,DIVERSE,NAVSQU,15,7/25/24,5,B2,15.6,,1,y,,0.151,15,0,
BR,DIVERSE,NAVSQU,16,7/25/24,5,A5,17.6,,1,,,,,,
BR,DIVERSE,NAVSQU,16,7/25/24,12,E5,17.9,1,1,y,,,,,
BR,DIVERSE,NAVSQU,17,7/25/24,12,D5,9.9,1,1,y,,,,,
BR,DIVERSE,NAVSQU,18,7/25/24,12,C4,31,1,3,y,,,,,
BR,DIVERSE,NAVSQU,19,7/25/24,12,A4,38.5,1,1,y,,0.664,32,2,
BR,DIVERSE,NAVSQU,20,7/25/24,9,B1,10.5,1,1,y,,,,,
BR,DIVERSE,NAVSQU,21,7/25/24,9,E3,27.4,1,5,,,,,,
BR,DIVERSE,NAVSQU,22,7/25/24,9,B4,27.6,2,2,,,,,,
BR,DIVERSE,NAVSQU,23,7/25/24,9,C5,22.4,,1,,,,,,
BR,DIVERSE,NAVSQU,24,7/25/24,13,D4,8.1,1,1,y,,,,,
BR,DIVERSE,NAVSQU,25,7/25/24,13,E2,33,1,2,y,,,,,
BR,DIVERSE,NAVSQU,26,7/25/24,13,B2,29.6,1,1,y,,0.326,19,0,
BR,DIVERSE,NAVSQU,27,7/25/24,13,C1,22.9,1,4,y,,,,,
BR,DIVERSE,PLAFIG,1,7/25/24,9,D2,,1,4,y,,0.003,,,
BR,DIVERSE,PLAFIG,2,,4,B5,,,,n,,,,,gone
BR,DIVERSE,PLAFIG,3,7/25/24,11,D2,,1,6,,,0.007,,,
BR,DIVERSE,PLAFIG,4,7/24/24,1,C3,,,4,y,,0.0049,,,
BR,DIVERSE,PLAFIG,5,7/24/24,1,A4,,,12,y,,0.005,,,
BR,DIVERSE,PLAFIG,5,7/24/24,3,D1,,,4,y,,0.024,,,
BR,DIVERSE,PLAFIG,6,7/24/24,3,D1,,,8,y,,0.0185,,,
BR,DIVERSE,PLAFIG,7,7/24/24,3,E2,,1,3,y,,0.0064,,,
BR,DIVERSE,PLAFIG,8,7/24/24,3,D2,,1,3,y,,0.0058,,,
BR,DIVERSE,PLAFIG,9,7/24/24,4,C5,,,2,n,,,,,
BR,DIVERSE,PLAFIG,10,7/24/24,4,E5,,1,3,n,,,,,
BR,DIVERSE,PLAFIG,11,7/25/24,12,E3,,1,26,n,,,,,
BR,DIVERSE,PLAFIG,12,7/25/24,5,D5,,,3,,,,,,
BR,DIVERSE,PLAFIG,13,7/25/24,5,B5,,,14,,,,,,
BR,DIVERSE,PLAFIG,14,7/25/24,12,C5,,,2,y,,,,,
BR,DIVERSE,PLAFIG,15,7/25/24,12,B1,,,1,n,,,,,
BR,DIVERSE,PLAFIG,16,7/25/24,13,D3,,,8,n,,,,,
BR,DIVERSE,PLAFIG,18,7/25/24,9,B3,,,2,n,,,,,
BR,DIVERSE,PLAFIG,19,7/25/24,9,C2,,,3,n,,,,,
BR,DIVERSE,PLAFIG,20,7/25/24,9,A1,,,3,n,,,,,
BR,DIVERSE,PLAFIG,21,7/25/24,9,D4,,,4,,,,,,
BR,DIVERSE,PLAFIG,22,7/25/24,13,A3,,,8,n,,,,,
BR,DIVERSE,PLECON,1,7/25/24,6,,18.3,1,2,y,,0.015,,,
BR,DIVERSE,PLECON,2,,2,E1,,,,n,,,,,gone
BR,DIVERSE,PLECON,3,7/25/24,9,D5,20.5,2,4,y,,0.086,,,
BR,DIVERSE,PLECON,4,7/24/24,1,B1,8.3,,2,y,,0.07,,,BT
BR,DIVERSE,PLECON,5,7/24/24,1,D4,16.4,,2,y,,0.004,,,
BR,DIVERSE,PLECON,6,7/24/24,2,B1,27.9,,5,y,,0.097,,,
BR,DIVERSE,PLECON,7,7/24/24,2,C5,19.8,1,2,y,,0.007,,,
BR,DIVERSE,PLECON,8,7/24/24,2,A2,17.1,1,10,y,,,,,too small
BR,DIVERSE,PLECON,9,7/24/24,2,A1,24.1,1,4,y,,0.48,,,
BR,DIVERSE,PLECON,10,7/24/24,3,B1,18.4,1,4,n,,,,,
BR,DIVERSE,PLECON,11,7/24/24,3,B2,23.1,1,4,n,,,,,
BR,DIVERSE,PLECON,12,7/24/24,4,B3,18.8,1,2,n,,,,,
BR,DIVERSE,PLECON,13,7/25/24,5,E1,11.6,1,2,n,,,,,
BR,DIVERSE,PLECON,14,7/25/24,9,A1,14.1,1,3,n,,,,,
BR,DIVERSE,PLECON,15,7/25/24,12,D5,13.7,1,2,n,,,,,
BR,DIVERSE,PLECON,16,7/25/24,13,D5,18.5,1,6,n,,,,,
BR,DIVERSE,PLECON,17,7/25/24,13,A5,18.7,1,3,n,,,,,
BR,DIVERSE,PLECON,18,7/25/24,9,D1,14.1,,4,n,,,,,
BR,DIVERSE,PLECON,19,7/25/24,9,E1,11.5,,2,,,,,,
BR,DIVERSE,PLECON,20,7/25/24,9,A3,18.4,1,2,,,,,,
BR,DIVERSE,PLECON,21,7/25/24,9,B5,24.2,,2,,,,,,
BR,DIVERSE,PLECON,22,7/25/24,9,D5,20.1,,2,,,,,,
BR,DIVERSE,PLECON,23,7/25/24,13,C3,30.5,1,5,n,,,,,
