PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,STEMS,TOTAL FR,BAGGED?,EXACTFR,BIOMASS,TOPFR,SIDEFR,NOTES
SEM,DIVERSE,EPIDEN,1,7/22/24,2,B2,15.7,1,,YES,11,0.301,,,
SEM,DIVERSE,EPIDEN,2,7/22/24,5,D2,23.7,1,,YES,5,0.175,,,
SEM,DIVERSE,EPIDEN,3,7/22/24,4,C5,9.4,1,,YES,2,0.0479,,,
SEM,DIVERSE,EPIDEN,4,7/19/24,4,E4,64.9,,,YES,,,,,
SEM,DIVERSE,EPIDEN,5,7/19/24,4,C1,22.1,2,,YES,,,,,
SEM,DIVERSE,EPIDEN,6,7/19/24,4,A1,14.6,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,7,7/19/24,4,E2,13.2,1,,YES,4,,,,
SEM,DIVERSE,EPIDEN,8,7/19/24,1,E2,18.5,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,9,7/19/24,4,A5,17.8,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,10,7/19/24,1,C4,18.2,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,11,7/19/24,1,B3,14,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,12,7/19/24,1,B1,25.4,1,,YES,15,0.369,,,
SEM,DIVERSE,EPIDEN,13,7/19/24,3,D4,21.7,1,,NO,,,,,
SEM,DIVERSE,EPIDEN,14,7/19/24,3,C2,22.9,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,15,7/19/24,3,B2,39,1,,YES,29,1.158,,,
SEM,DIVERSE,EPIDEN,16,7/19/24,8,E3,15.2,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,17,7/19/24,8,E1,15.2,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,18,7/19/24,8,B2,16.2,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,19,7/19/24,8,B4,13.5,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,20,7/22/24,2,E1,39.9,3,,YES,,,,,
SEM,DIVERSE,EPIDEN,21,7/22/24,2,C4,17.5,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,22,7/22/24,2,B4,22.3,1,,YES,3,0.143,,,
SEM,DIVERSE,EPIDEN,26,7/22/24,6,E1,24.8,,,YES,,,,,
SEM,DIVERSE,EPIDEN,27,7/22/24,6,D2,22.9,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,28,7/22/24,6,C3,16,,,YES,,,,,
SEM,DIVERSE,EPIDEN,29,7/22/24,6,E5,20.8,1,,,,,,,
SEM,DIVERSE,EPIDEN,30,7/22/24,6,A3,15.3,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,30,7/22/24,5,D5,33.3,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,31,7/22/24,5,C3,16.4,1,,YES,9,0.146,,,
SEM,DIVERSE,EPIDEN,32,7/22/24,5,E1,12.1,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,33,7/22/24,7,B1,14.3,1,,YES,,,,,
SEM,DIVERSE,EPIDEN,34,7/22/24,7,A3,21.2,,,YES,,,,,
SEM,DIVERSE,GILCAP,1,7/22/24,6,D5,47.1,1,10,YES,,,,,
SEM,DIVERSE,GILCAP,2,,,,,,,,,,,,GONE
SEM,DIVERSE,GILCAP,3,7/22/24,5,D2,31.2,,21,YES,,,,,
SEM,DIVERSE,GILCAP,4,7/19/24,4,D4,37.6,,,YES,,,,,
SEM,DIVERSE,GILCAP,5,7/19/24,4,A2,36.8,,7,YES,,,,,
SEM,DIVERSE,GILCAP,6,7/19/24,1,A5,24.6,1,1,YES,,,,,
SEM,DIVERSE,GILCAP,7,7/19/24,3,D5,51.3,1,6,NO,,,,,
SEM,DIVERSE,GILCAP,8,7/19/24,3,D2,21.6,1,4,YES,,,,,
SEM,DIVERSE,GILCAP,9,7/19/24,3,B5,49.1,1,5,NO,,,,,
SEM,DIVERSE,GILCAP,10,7/19/24,3,B1,47.5,3,5,NO,,,,,
SEM,DIVERSE,GILCAP,11,7/19/24,3,A2,25,,1,NO,,,,,
SEM,DIVERSE,GILCAP,12,7/19/24,8,A1,10.4,,2,,,,,,
SEM,DIVERSE,GILCAP,13,7/19/24,8,A4,36.2,1,15,NO,,,,,
SEM,DIVERSE,GILCAP,14,7/19/24,8,C4,19.7,1,11,NO,,,,,
SEM,DIVERSE,GILCAP,15,7/19/24,8,C3,24.1,1,6,NO,,,,,
SEM,DIVERSE,GILCAP,16,7/22/24,2,E4,36.4,1,24,NO,,,,,
SEM,DIVERSE,GILCAP,17,7/22/24,2,D5,17.6,1,3,NO,,,,,
SEM,DIVERSE,GILCAP,18,7/22/24,2,C3,19.6,1,3,NO,,,,,
SEM,DIVERSE,GILCAP,19,7/22/24,2,A5,26.5,1,2,NO,,,,,
SEM,DIVERSE,GILCAP,20,7/22/24,2,A3,42.6,1,6,NO,,,,,
SEM,DIVERSE,GILCAP,21,7/22/24,6,B1,26.1,1,3,NO ,,,,,
SEM,DIVERSE,GILCAP,22,7/22/24,6,B2,14.7,,2,NO ,,,,,
SEM,DIVERSE,GILCAP,23,7/22/24,6,B3,28.3,1,4,NO,,,,,
SEM,DIVERSE,GILCAP,24,7/22/24,6,B5,24,1,4,,,,,,
SEM,DIVERSE,GILCAP,25,7/22/24,5,C5,41.8,1,15,NO ,,,,,
SEM,DIVERSE,GILCAP,26,7/22/24,5,C4,26.9,1,2,NO ,,,,,
SEM,DIVERSE,GILCAP,27,7/22/24,5,C2,46,1,10,NO ,,,,,
SEM,DIVERSE,GILCAP,28,7/22/24,7,D5,33.4,1,2,NO ,,,,,
SEM,DIVERSE,GILCAP,29,7/22/24,7,E3,18.3,1,1,NO ,,,,,
SEM,DIVERSE,GILCAP,30,7/22/24,7,C2,19.4,1,1,YES,,,,,couldn't find
SEM,DIVERSE,GILCAP,31,7/22/24,7,B2,25.9,1,1,NO ,,,,,
SEM,DIVERSE,GILCAP,32,7/22/24,7,D3,26.7,1,1,NO ,,,,,
SEM,DIVERSE,NAVSQU,1,7/22/24,6,D4,31.5,1,3,yes,,0.93,47,7,
SEM,DIVERSE,NAVSQU,2,7/22/24,2,B1,27,1,1,yes,,0.58,21,0,
SEM,DIVERSE,NAVSQU,3,7/22/24,7,D4,14.6,1,1,yes,,0.122,12,0,
SEM,DIVERSE,NAVSQU,4,7/19/24,4,E5,51.6,,18,YES,,,,,
SEM,DIVERSE,NAVSQU,5,7/19/24,4,C2,16.4,,1,YES,,,,,
SEM,DIVERSE,NAVSQU,6,7/19/24,4,B2,5.1,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,7,7/19/24,1,E3,19,1,1,YES,,0.207,8,0,
SEM,DIVERSE,NAVSQU,7,7/19/24,1,D5,15.8,1,2,YES,,0.223,11,6,
SEM,DIVERSE,NAVSQU,8,7/19/24,1,D3,11,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,9,7/19/24,1,C2,39,1,10,YES,,,,,
SEM,DIVERSE,NAVSQU,10,7/19/24,4,B5,19.9,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,11,7/19/24,1,B2,19,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,12,7/19/24,1,A1,19.9,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,13,7/19/24,1,C3,12.6,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,14,7/19/24,3,E4,54.2,11,89,YES,,,,,
SEM,DIVERSE,NAVSQU,15,7/19/24,3,C1,22,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,16,7/19/24,3,B4,12.6,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,17,7/19/24,3,A5,15.2,,1,YES,,,,,
SEM,DIVERSE,NAVSQU,18,7/19/24,3,A4,6.5,,1,YES,,0.0093,2,0,
SEM,DIVERSE,NAVSQU,19,7/19/24,8,A2,26.1,1,3,YES,,,,,
SEM,DIVERSE,NAVSQU,20,7/19/24,8,A5,22.2,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,21,7/19/24,8,C5,14.5,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,22,7/22/24,2,D2,40.9,1,13,YES,,,,,
SEM,DIVERSE,NAVSQU,23,7/22/24,2,B5,9.4,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,24,7/22/24,2,A1,22.3,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,25,7/22/24,6,A2,17.8,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,26,7/22/24,6,C2,22.6,,,YES,,0.325,13,0,
SEM,DIVERSE,NAVSQU,27,7/22/24,6,E4,23.3,1,1,,,,,,
SEM,DIVERSE,NAVSQU,28,7/22/24,5,E5,27.2,,2,YES,,,,,
SEM,DIVERSE,NAVSQU,29,7/22/24,5,D3,31.4,1,2,YES,,0.0657,28,4,
SEM,DIVERSE,NAVSQU,30,7/22/24,5,B2,11.2,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,31,7/22/24,5,C1,32.7,1,3,YES,,,,,
SEM,DIVERSE,NAVSQU,32,7/22/24,7,A5,17.2,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,33,7/22/24,7,E4,22.3,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,34,7/22/24,7,D2,8.9,1,1,YES,,,,,
SEM,DIVERSE,NAVSQU,35,7/22/24,7,A4,18.4,1,1,NO ,,,,,
SEM,DIVERSE,PLAFIG,1,7/19/24,1,C1,,1,26,yes,,0.12,,,
SEM,DIVERSE,PLAFIG,2,7/22/24,5,B1,,1,3,,,0.052,,,
SEM,DIVERSE,PLAFIG,3,7/22/24,2,C5,,,28,yes,,0.055,,,BT
SEM,DIVERSE,PLAFIG,4,7/19/24,1,C5,,1,25,YES,,0.093,,,
SEM,DIVERSE,PLAFIG,5,7/19/24,4,D2,,,4,YES,,0.011,,,
SEM,DIVERSE,PLAFIG,6,7/19/24,1,B5,,1,32,YES,,,,,
SEM,DIVERSE,PLAFIG,7,7/19/24,1,E2,,1,12,YES,,0.047,,,
SEM,DIVERSE,PLAFIG,8,7/19/24,4,D5,,,2,YES,,0.017,,,
SEM,DIVERSE,PLAFIG,8,7/19/24,3,D1,,1,39,YES,,,,,
SEM,DIVERSE,PLAFIG,9,7/19/24,2,E4,,1,38,YES,,0.06,,,
SEM,DIVERSE,PLAFIG,10,7/19/24,8,B5,,,6,NO,,,,,
SEM,DIVERSE,PLAFIG,11,7/22/24,6,C3,,,5,NO,,,,,
SEM,DIVERSE,PLAFIG,12,7/22/24,7,A1,,1,4,NO,,,,,
SEM,DIVERSE,PLAFIG,13,7/22/24,7,A2,,1,4,NO,,,,,
SEM,DIVERSE,PLAFIG,14,7/22/24,7,A2,,1,20,NO,,,,,
SEM,DIVERSE,PLECON,1,,,,,,,,,,,,GONE
SEM,DIVERSE,PLECON,2,7/19/24,2,C1,33.4,1,0,,,,,,BT Fruit gone
SEM,DIVERSE,PLECON,3,,2,D5,,,,,,,,,GONE
SEM,DIVERSE,PLECON,4,7/19/24,1,C5,16.8,1,5,YES,,0.067,,,
SEM,DIVERSE,PLECON,5,7/19/24,1,A4,20.1,1,3,YES,,0.065,,,
SEM,DIVERSE,PLECON,6,7/19/24,4,D2,5.7,1,2,YES,,0.019,,,
SEM,DIVERSE,PLECON,7,7/19/24,2,A4,22.4,1,3,YES,,0.05,,,
SEM,DIVERSE,PLECON,8,7/22/24,5,C3,6.1,2,0,NO,,,,,"BT BAGGED ""11""?"
