PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,STEMS,FR1,FR2,FR3,FR4,FR5,EXACTFR,BIOMASS,TOPFR,SIDEFR,NOTES
RF,DIVERSE,COLLIN,15,7/10/2024,5,A4,,,9,,,,,,,,,
RF,DIVERSE,COLLIN,16,7/10/2024,5,E4,,,10,,,,,,,,,
RF,DIVERSE,COLLIN,17,7/10/2024,5,B1,,,20,,,,,,,,,
RF,DIVERSE,COLLIN,18,7/10/2024,6,A1,23.2,,7,,,,,,,,,
RF,DIVERSE,COLLIN,19,7/10/2024,6,B2,25.2,,4,,,,,,,,,
RF,DIVERSE,COLLOM,1,7/4/2024,1,C3,39.9,1,1,,,,,,,17,0,
RF,DIVERSE,COLLOM,2,7/8/2024,3,D4,51.9,1,1,,,,,,,64,0,
RF,DIVERSE,COLLOM,3,7/8/2024,2,A3,43.2,1,1,,,,,,,41,0,
RF,DIVERSE,COLLOM,4,7/4/2024,1,A5,33.6,1,1,,,,,,,13,0,
RF,DIVERSE,COLLOM,5,7/4/2024,1,E4,40.0,1,1,,,,,,,,,
RF,DIVERSE,COLLOM,6,7/8/2024,2,B1,41.6,1,1,,,,,,,,,
RF,DIVERSE,COLLOM,7,7/8/2024,2,C4,31.3,1,1,,,,,,,12,0,
RF,DIVERSE,COLLOM,8,7/8/2024,3,E3,32.5,2,2,,,,,,,,,
RF,DIVERSE,COLLOM,9,7/8/2024,3,A3,28.3,1,2,,,,,,,,,
RF,DIVERSE,COLLOM,10,7/8/2024,4,A2,42.2,5,1,1,1,1,6,,,,,
RF,DIVERSE,COLLOM,11,7/8/2024,4,B3,31.4,1,1,,,,,,,,,
RF,DIVERSE,COLLOM,12,7/8/2024,4,B1,20.0,1,1,,,,,,,,,
RF,DIVERSE,COLLOM,13,7/8/2024,4,D1,17.6,1,1,,,,,,,,,
RF,DIVERSE,COLLOM,14,7/10/2024,5,A1,34.6,1,1,,,,,,,,,
RF,DIVERSE,COLLOM,14,7/10/2024,5,A1,34.6,,1,,,,,,,,,
RF,DIVERSE,COLLOM,15,7/10/2024,5,B2,28.6,1,1,,,,,,,,,
RF,DIVERSE,COLLOM,15,7/10/2024,5,E1,28.6,1,1,,,,,,,17,0,
RF,DIVERSE,COLLOM,16,7/10/2024,5,D5,44.3,,,,,,,,,34,0,
RF,DIVERSE,COLLOM,17,7/10/2024,5,C4,38.8,,3,,,,,,,,,
RF,DIVERSE,COLLOM,18,7/10/2024,5,C2,30.6,,,,,,,,,,,
RF,DIVERSE,COLLOM,19,7/10/2024,6,B3,21.4,,1,,,,,,,8,0,
RF,DIVERSE,EPIDEN,1,7/10/2024,5,E3,45.2,,,,,,,4,0.842,,,COLLECTED
RF,DIVERSE,EPIDEN,2,7/8/2024,2,E1,40.1,,,,,,,14,0.503,,,collected
RF,DIVERSE,EPIDEN,3,7/8/2024,2,D2,26.5,,,,,,,4,0.17,,,
RF,DIVERSE,EPIDEN,4,7/4/2024,1,E2,10.4,1,6,,,,,,,,,
RF,DIVERSE,EPIDEN,5,7/4/2024,1,D2,38.8,1,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,6,7/8/2024,2,C1,38.0,,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,7,7/8/2024,2,C2,27.0,1,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,8,7/8/2024,2,E4,40.2,1,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,9,7/8/2024,3,A5,68.7,,,,,,,84,2.82,,,collected
RF,DIVERSE,EPIDEN,10,7/8/2024,3,A1,31.6,,,,,,,7,0.221,,,collected
RF,DIVERSE,EPIDEN,11,7/8/2024,3,E4,59.7,,,,,,,11,0.486,,,collected
RF,DIVERSE,EPIDEN,12,7/8/2024,3,C5,46.2,,,,,,,12,0.381,,,collected
RF,DIVERSE,EPIDEN,13,7/8/2024,3,B1,41.3,,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,14,7/4/2024,4,E4,26.6,,,,,,,19,0.218,,,collected
RF,DIVERSE,EPIDEN,15,7/8/2024,4,A3,29.4,,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,16,7/8/2024,4,A1,13.3,1,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,17,7/8/2024,4,C1,23.0,1,,,,,,,,,,collected
RF,DIVERSE,EPIDEN,18,7/10/2024,5,E5,34.1,,,,,,,,,,,
RF,DIVERSE,EPIDEN,19,7/10/2024,5,B2,35.6,,,,,,,,,,,
RF,DIVERSE,EPIDEN,20,7/10/2024,5,B4,20.1,,,,,,,,,,,
RF,DIVERSE,EPIDEN,21,7/10/2024,5,B5,19.5,,,,,,,,,,,
RF,DIVERSE,GILCAP,1,7/8/2024,2,C3,22.7,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,2,7/10/2024,5,B1,19.9,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,3,7/4/2024,1,B2,38.9,1,1,,,,,,,,,7/10 - either REP1 or 3
RF,DIVERSE,GILCAP,4,7/4/2024,1,A3,33.5,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,5,7/4/2024,1,E5,39.0,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,6,7/8/2024,2,A1,29.2,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,7,7/8/2024,2,B1,55.0,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,8,7/8/2024,2,D2,23.5,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,9,7/8/2024,3,D3,33.7,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,10,7/8/2024,3,B4,27.8,1,2,,,,,,,,,
RF,DIVERSE,GILCAP,11,7/8/2024,3,C4,40.5,1,2,,,,,,,,,
RF,DIVERSE,GILCAP,12,7/8/2024,4,E2,23.3,1,3,,,,,,,,,
RF,DIVERSE,GILCAP,13,7/8/2024,4,C2,29.1,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,14,7/8/2024,4,C5,7.1,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,15,7/10/2024,5,A3,17.3,1,1,,,,,,,,,
RF,DIVERSE,GILCAP,15,7/10/2024,5,A3,17.3,,1,,,,,,,,,
RF,DIVERSE,GILCAP,16,7/10/2024,5,E2,33.3,,1,,,,,,,,,
RF,DIVERSE,GILCAP,17,7/10/2024,5,E2,27.5,,1,,,,,,,,,
RF,DIVERSE,GILCAP,18,7/10/2024,6,B1,30.4,,1,,,,,,,,,
RF,DIVERSE,NAVSQU,1,7/8/2024,4,C4,10.7,1,1,,,,,,0.052,9,0,
RF,DIVERSE,NAVSQU,2,7/4/2024,1,C4,13.0,1,1,,,,,,,,,
RF,DIVERSE,NAVSQU,3,7/8/2024,2,C3,9.0,1,1,,,,,,0.019,5,0,
RF,DIVERSE,NAVSQU,4,7/4/2024,1,A2,11.0,1,1,,,,,,,,,
RF,DIVERSE,NAVSQU,5,7/4/2024,1,C1,32.9,1,1,,,,,,0.275,13,0,
RF,DIVERSE,NAVSQU,6,7/8/2024,2,B3,18.8,1,1,,,,,,,,,
RF,DIVERSE,NAVSQU,7,7/8/2024,2,D2,25.2,1,1,,,,,,,, ,
RF,DIVERSE,NAVSQU,8,7/8/2024,3,B5,22.1,1,1,,,,,,0.179,12,0,
RF,DIVERSE,NAVSQU,9,7/8/2024,3,B5,7.1,1,1,,,,,,0.0126,3,0,
RF,DIVERSE,NAVSQU,10,7/8/2024,4,A4,13.8,1,1,,,,,,,,,
RF,DIVERSE,NAVSQU,11,7/8/2024,4,B5,16.5,1,1,,,,,,0.116,12,0,
RF,DIVERSE,NAVSQU,12,7/8/2024,4,C3,9.5,1,1,,,,,,,,,
RF,DIVERSE,NAVSQU,13,7/8/2024,4,C1,8.2,1,1,,,,,,0.133,5,0,
RF,DIVERSE,NAVSQU,14,7/8/2024,4,D2,15.5,1,1,,,,,,,,,
RF,DIVERSE,NAVSQU,15,7/10/2024,5,A5,11.6,1,1,,,,,,,,,
RF,DIVERSE,NAVSQU,15,7/10/2024,5,A5,11.6,,,,,,,,,,,
RF,DIVERSE,NAVSQU,16,7/10/2024,5,A2,27.3,,,,,,,,,,,
RF,DIVERSE,NAVSQU,17,7/10/2024,5,C3,16.1,,,,,,,,,,,
RF,DIVERSE,NAVSQU,18,7/10/2024,6,A2,17.2,,1,,,,,,,,,
RF,DIVERSE,NAVSQU,19,7/10/2024,6,D1,8.3,1,1,,,,,,,,,
RF,DIVERSE,PLAFIG,1,7/10/2024,4,E2,,1,18,,,,,,,,,Broken stem
RF,DIVERSE,PLAFIG,2,7/8/2024,3,E1,,1,46,,,,,,,,,
RF,DIVERSE,PLAFIG,3,7/10/2024,1,A5,,1,42,,,,,,,,,
RF,DIVERSE,PLAFIG,4,7/4/2024,1,E4,32.9,1,33,,,,,,,,,
RF,DIVERSE,PLAFIG,5,7/4/2024,1,A4,,1,18,,,,,,,,,
RF,DIVERSE,PLAFIG,6,7/4/2024,1,C3,,1,12,,,,,,,,,
RF,DIVERSE,PLAFIG,7,7/8/2024,2,B4,,1,37,,,,,,,,,
RF,DIVERSE,PLAFIG,8,7/8/2024,2,D3,,1,19,,,,,,,,,
RF,DIVERSE,PLAFIG,9,7/8/2024,2,B4,,1,17,,,,,,,,,
RF,DIVERSE,PLAFIG,10,7/8/2024,2,B2,,1,7,,,,,,,,,
RF,DIVERSE,PLAFIG,11,7/8/2024,2,A2,,1,13,,,,,,,,,
RF,DIVERSE,PLAFIG,12,7/8/2024,3,D3,,1,42,,,,,,,,,
RF,DIVERSE,PLAFIG,13,7/8/2024,3,A4,,1,6,,,,,,,,,
RF,DIVERSE,PLAFIG,14,7/8/2024,4,E3,,1,39,,,,,,,,,
RF,DIVERSE,PLAFIG,15,7/8/2024,4,D5,,1,16,,,,,,,,,
RF,DIVERSE,PLAFIG,16,7/8/2024,4,C3,,1,20,,,,,,,,,
RF,DIVERSE,PLAFIG,17,7/8/2024,4,C3,,1,8,,,,,,,,,
RF,DIVERSE,PLAFIG,18,7/10/2024,5,E4,,,39,,,,,,,,,
RF,DIVERSE,PLAFIG,19,7/10/2024,5,B3,,8,31,20,34,45,48,,,,,
RF,DIVERSE,PLAFIG,20,7/10/2024,6,C2,,1,22,,,,,,,,,
RF,DIVERSE,PLAFIG,21,7/10/2024,6,C3,,1,70,,,,,,,,,
RF,DIVERSE,PLECON,1,7/4/2024,1,D5,22.0,1,3,,,,,,,,,BT
RF,DIVERSE,PLECON,2,7/10/2024,5,D1,34.3,1,15,,,,,,,,,
RF,DIVERSE,PLECON,3,7/8/2024,2,D1,28.5,1,4,,,,,,,,,BT
RF,DIVERSE,PLECON,4,7/4/2024,1,D3,41.2,1,10,,,,,,,,,
RF,DIVERSE,PLECON,5,7/4/2024,1,A5,41.5,1,4,,,,,,,,,
RF,DIVERSE,PLECON,5,7/10/2024,5,D1,22.1,,3,,,,,,,,,
RF,DIVERSE,PLECON,6,7/4/2024,1,A4,48.7,1,4,,,,,,,,,
RF,DIVERSE,PLECON,7,7/4/2024,1,C5,45.0,1,11,,,,,,,,,
RF,DIVERSE,PLECON,8,7/8/2024,2,A1,42.0,1,2,,,,,,,,,
RF,DIVERSE,PLECON,9,7/8/2024,3,C5,50.2,1,7,,,,,,,,,
RF,DIVERSE,PLECON,10,7/8/2024,3,B5,22.4,1,3,,,,,,,,,
RF,DIVERSE,PLECON,11,7/8/2024,4,E1,29.5,1,5,,,,,,,,,
RF,DIVERSE,PLECON,12,7/8/2024,4,D1,48.1,1,5,,,,,,,,,
RF,DIVERSE,PLECON,13,7/8/2024,4,E2,18.6,1,3,,,,,,,,,
RF,DIVERSE,PLECON,14,7/8/2024,4,C3,25.2,1,4,,,,,,,,,
RF,DIVERSE,PLECON,15,7/10/2024,5,D1,22.1,1,3,,,,,,,,,
RF,DIVERSE,PLECON,16,7/10/2024,5,E3,41.2,,4,,,,,,,,,
RF,DIVERSE,PLECON,17,7/10/2024,5,B3,23.0,,3,,,,,,,,,
RF,DIVERSE,PLECON,18,7/10/2024,6,E1,24.4,1,2,,,,,,,,,
RF,DIVERSE,PLECON,19,7/10/2024,6,D3,22.1,,2,,,,,,,,,
